метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Лермонтовский проспект;2-комнатная;http://www.cian.ru/sale/flat/46918394/;Москва, район Выхино-Жулебино, Пронская ул., 6К1;5;9.5;60
Лермонтовский проспект;1-комнатная;http://www.cian.ru/sale/flat/35866740/;Москва, район Косино-Ухтомский, Большая Косинская ул., 12;20;4.5;34
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/3542983/;Московская область, Люберецкий район, Люберцы, Колхозная ул., 10;9;4.6;46
Лермонтовский проспект;1-комнатная;http://www.cian.ru/sale/flat/47071654/;Москва, район Выхино-Жулебино, Моршанская ул., 3к1;9;4.9;39
Лермонтовский проспект;1-комнатная;http://www.cian.ru/sale/flat/45771559/;Москва, район Выхино-Жулебино, Жулебинский бул., 1;8;5.4;39
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/41089301/;Московская область, Люберецкий район, Люберцы, Октябрьский просп., 1;5;5.6;41
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/25737202/;Московская область, Люберецкий район, Люберцы, Зеленая ул.;16;5.7;52
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/12873241/;Московская область, Люберецкий район, Люберцы, Колхозная ул., 10;5;6.2;36
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/41796648/;Московская область, Люберецкий район, Люберцы, Октябрьский просп., 5к2;7;6.5;41
Лермонтовский проспект;1-комнатная;http://lyubertsy.cian.ru/sale/flat/30586540/;Московская область, Люберецкий район, Люберцы, Зеленая ул.;16;6.5;57
Лермонтовский проспект;1-комнатная;http://www.cian.ru/sale/flat/14334184/;Москва, район Выхино-Жулебино, Пронская ул., 6К1;6;7.3;39
Лермонтовский проспект;2-комнатная;http://lyubertsy.cian.ru/sale/flat/32069332/;Московская область, Люберецкий район, Люберцы, Зеленая ул.;16;7.5;69
Лермонтовский проспект;2-комнатная;http://lyubertsy.cian.ru/sale/flat/25735084/;Московская область, Люберецкий район, Люберцы, Зеленая ул.;16;7.5;70
Лермонтовский проспект;2-комнатная;http://lyubertsy.cian.ru/sale/flat/32669968/;Московская область, Люберецкий район, Люберцы, Зеленая ул.;16;7.7;71
