метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Охотный ряд;1-комнатная;http://www.cian.ru/sale/flat/32182336/;Москва, район Тверской, Тверская ул., 4С2;1;28.0;36
Охотный ряд;2-комнатная;http://www.cian.ru/sale/flat/45944167/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;5;39.5;64
Лубянка;3-комнатная;http://www.cian.ru/sale/flat/46086737/;Москва, район Тверской, Никольская ул., 10/2С2ав;5;338.6;189
Лубянка;3-комнатная;http://www.cian.ru/sale/flat/18709720/;Москва, район Тверской, Никольская ул., 10/2С2б;2;420.7;213
Театральная;2-комнатная;http://www.cian.ru/sale/flat/45944187/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;5;38.0;64
Площадь Революции;3-комнатная;http://www.cian.ru/sale/flat/38233702/;Москва, район Тверской, Никольская ул., 10/2С2ав;10;241.5;138
Охотный ряд;2-комнатная;http://www.cian.ru/sale/flat/39575735/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;1;44.7;69
Лубянка;2-комнатная;http://www.cian.ru/sale/flat/46086752/;Москва, район Тверской, Никольская ул., 10/2С2ав;5;181.1;103
Лубянка;2-комнатная;http://www.cian.ru/sale/flat/39864161/;Москва, район Тверской, Никольская ул., 10/2С2ав;10;128.9;106
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/45944192/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;5;38.0;64
