метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/46087972/;Москва, район Гагаринский, ул. Косыгина, 13;13;14.4;45
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/27912934/;Москва, район Гагаринский, Ленинский просп., 44;14;18.0;60
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/40636025/;Москва, район Гагаринский, ул. Фотиевой, 6к1;12;26.0;55
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/20974205/;Москва, район Гагаринский, ул. Фотиевой, 6к1;11;26.7;55
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/28179742/;Москва, район Гагаринский, ул. Фотиевой, 6к1;10;26.7;56
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/40342703/;Москва, район Гагаринский, ул. Фотиевой, 6С1;15;36.0;60
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/44804331/;Москва, район Хамовники, ул. Хамовнический Вал, 36;5;44.2;85
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/40342697/;Москва, район Гагаринский, ул. Фотиевой, 6С1;15;56.1;60
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/43993180/;Москва, район Хамовники, ул. Хамовнический Вал, 36;5;60.2;89
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/40342709/;Москва, район Гагаринский, ул. Фотиевой, 6С1;15;65.0;90
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/2524080/;Москва, район Гагаринский, ул. Фотиевой, 6;10;75.8;61
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/11939590/;Москва, район Гагаринский, ул. Фотиевой, 6С1;10;76.5;90
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/15763228/;Москва, район Раменки, ул. Косыгина, 19;10;291.7;123
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/32541232/;Москва, район Гагаринский, ул. Фотиевой, 3;10;12.5;45
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/44259690/;Москва, район Гагаринский, Ленинский просп., 52;15;14.5;58
Воробьевы горы;2-комнатная;http://www.cian.ru/sale/flat/46492749/;Москва, район Гагаринский, ул. Косыгина, 7;9;11.9;41
