метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Район Октябрьский;1-комнатная;http://samara.cian.ru/sale/flat/46688857/;Самарская область, Самара, район Октябрьский, ул. Мичурина, 112;0;2.7;40
Район Октябрьский;2-комнатная;http://samara.cian.ru/sale/flat/30496036/;Самарская область, Самара, район Октябрьский, ул. Мичурина, 112;0;4.2;50
Котельники;2-комнатная;http://lyubertsy.cian.ru/sale/flat/37652164/;Московская область, Люберецкий район, Люберцы, 115-й кв-л, ул. Авиаторов, 2к1;15;7.9;78
Район Октябрьский;1-комнатная;http://samara.cian.ru/sale/flat/34805500/;Самарская область, Самара, район Октябрьский, ул. Луначарского, 28;0;2.7;38
Котельники;2-комнатная;http://lyubertsy.cian.ru/sale/flat/22475616/;Московская область, Люберецкий район, Люберцы, Юбилейная ул., 7А;15;5.5;56
Котельники;2-комнатная;http://lyubertsy.cian.ru/sale/flat/46180842/;Московская область, Люберецкий район, Люберцы, Московская ул., 7;16;5.2;42
Котельники;2-комнатная;http://lyubertsy.cian.ru/sale/flat/46867189/;Московская область, Люберецкий район, Люберцы, 115-й кв-л, ул. Авиаторов, 2к1;18;7.5;72
Котельники;1-комнатная;http://lyubertsy.cian.ru/sale/flat/40593593/;Московская область, Люберецкий район, Люберцы, 115-й кв-л, ул. Авиаторов, 2к2;18;5.6;43
Район Октябрьский;3-комнатная;http://samara.cian.ru/sale/flat/44318880/;Самарская область, Самара, район Октябрьский, ул. Мичурина, 112;0;4.5;66
Котельники;1-комнатная;http://lyubertsy.cian.ru/sale/flat/35475144/;Московская область, Люберецкий район, Люберцы, Московская ул.;10;5.9;43
