метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/45633119/;Москва, район Соколиная гора, Борисовская ул., вл4;10;10.9;46
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/40914527/;Москва, район Соколиная гора, Борисовская ул., 27;12;5.9;45
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/3901431/;Москва, район Соколиная гора, Борисовская ул., 35;11;6.3;35
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/31305682/;Москва, район Соколиная гора, Измайловское ш., 62;10;6.5;32
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/40846865/;Москва, район Соколиная гора, Кирпичная ул., 51;11;6.6;41
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/32915110/;Москва, район Соколиная гора, Мироновская ул., 44;10;6.7;31
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/9095291/;Москва, район Соколиная гора, Ткацкая ул., 48;7;6.8;42
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/30631054/;Москва, район Соколиная гора, Лечебная ул., 16;8;7.0;38
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/40614095/;Москва, район Соколиная гора, Измайловское ш., 62;8;7.1;33
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/41947806/;Москва, район Преображенское, Большая Черкизовская ул., 20К6;15;7.6;38
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/40507517/;Москва, район Соколиная гора, Окружной проезд, 14К2;5;7.9;45
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/15413494/;Москва, район Соколиная гора, Зверинецкая ул., 33;5;8.5;45
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/30752668/;Москва, район Соколиная гора, Борисовская ул., 4С7;10;10.5;46
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/39368153/;Москва, район Соколиная гора, Щербаковская ул., 54;12;10.7;45
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/23291352/;Москва, район Соколиная гора, Щербаковская ул., 54;12;10.8;44
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/42440778/;Москва, район Соколиная гора, Щербаковская ул., 50;12;13.5;68
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/44806291/;Москва, район Соколиная гора, Борисовская ул., 27;15;5.3;30
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/19158556/;Москва, район Соколиная гора, Борисовская ул., 4С7;10;11.3;46
Партизанская;1-комнатная;http://www.cian.ru/sale/flat/32570620/;Москва, район Соколиная гора, Фортунатовская ул., 10;9;11.8;52
Партизанская;2-комнатная;http://www.cian.ru/sale/flat/29086414/;Москва, район Соколиная гора, Борисовская ул., 4С7;10;15.0;64
