метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Чкаловская;1-комнатная;http://www.cian.ru/sale/flat/41792316/;Москва, район Басманный, Подсосенский пер., 24;5;12.8;48
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/34550740/;Москва, район Таганский, Наставнический пер., вл3;7;22.0;56
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/28026502/;Москва, район Таганский, Наставнический пер., вл3;7;23.0;68
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3112709/;Москва, район Таганский, Наставнический пер., вл3;5;25.0;74
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/39105029/;Москва, район Таганский, ул. Земляной Вал, 46;3;25.0;83
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3110636/;Москва, район Таганский, Наставнический пер., вл3;6;25.3;74
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3108892/;Москва, район Таганский, Наставнический пер., вл3;6;32.0;74
Чкаловская;1-комнатная;http://www.cian.ru/sale/flat/34763116/;Москва, район Таганский, Наставнический пер., вл3;7;33.9;74
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/26055214/;Москва, район Таганский, Наставнический пер., вл3;7;40.0;95
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/34763134/;Москва, район Таганский, Наставнический пер., вл3;7;49.0;76
Чкаловская;1-комнатная;http://www.cian.ru/sale/flat/34022566/;Москва, район Басманный, Садовая-Черногрязская ул., 16-18С1;7;13.5;34
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/32312836/;Москва, район Таганский, Наставнический пер., вл3;7;18.9;58
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/33051610/;Москва, район Таганский, Наставнический пер., вл3;7;21.9;57
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/40499765/;Москва, район Басманный, Подсосенский пер., 8С2;7;22.0;62
Чкаловская;1-комнатная;http://www.cian.ru/sale/flat/3285186/;Москва, район Таганский, Наставнический пер., вл3;6;25.3;73
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/28027762/;Москва, район Таганский, Наставнический пер., вл3;7;26.0;78
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3289621/;Москва, район Таганский, Наставнический пер., вл3;6;26.9;79
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/28033114/;Москва, район Таганский, Наставнический пер., вл3;7;29.0;86
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/40400015/;Москва, район Басманный, Гороховский пер., 12;10;33.0;88
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3110828/;Москва, район Таганский, Наставнический пер., вл3;6;40.0;77
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/40614431/;Москва, район Таганский, Наставнический пер., вл3;10;43.5;94
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3285590/;Москва, район Таганский, Наставнический пер., вл3;6;43.5;95
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/34763146/;Москва, район Таганский, Наставнический пер., вл3;7;51.0;110
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/2664118/;Москва, район Басманный, Казарменный пер., 3;6;78.7;105
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/12357268/;Москва, район Басманный, Казарменный пер., 3;10;80.2;106
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/38934083/;Москва, район Таганский, Серебряническая наб., 19;10;138.5;138
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/39495635/;Москва, район Басманный, ул. Воронцово Поле, 15;3;19.7;50
Чкаловская;1-комнатная;http://www.cian.ru/sale/flat/23094504/;Москва, район Таганский, Наставнический пер., вл3;7;22.0;57
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/35469546/;Москва, район Таганский, Наставнический пер., вл3;7;43.5;94
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/35692452/;Москва, район Таганский, Наставнический пер., вл3;7;53.0;122
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/35469564/;Москва, район Таганский, Наставнический пер., вл3;7;57.1;123
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/3111748/;Москва, район Таганский, Наставнический пер., вл3;6;49.0;110
Чкаловская;2-комнатная;http://www.cian.ru/sale/flat/46643314/;Москва, район Басманный, пер. Лялин, 23-29С2;4;5.0;70
