метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/38301916/;Санкт-Петербург, район Фрунзенский, Тамбовская ул.;10;3.9;31
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/38722991/;Санкт-Петербург, район Фрунзенский, Тамбовская ул.;10;7.2;71
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/39659387/;Санкт-Петербург, район Фрунзенский, Тамбовская ул.;5;9.2;77
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/38301922/;Санкт-Петербург, район Фрунзенский, Тамбовская ул.;10;9.3;75
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/38514052/;Санкт-Петербург, район Фрунзенский, Тамбовская ул., 7;3;9.3;75
Обводный канал;Студия;http://spb.cian.ru/sale/flat/45443053/;Санкт-Петербург, район Центральный, ул. Тюшина, 6;2;3.1;31
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/43553579/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 180;5;3.7;28
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/13488040/;Санкт-Петербург, район Центральный, наб. Обводного Канала, 57;5;3.9;46
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/32445442/;Санкт-Петербург, район Центральный, наб. Обводного Канала, 57;5;3.9;46
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/38195158/;Санкт-Петербург, район Центральный, ул. Тюшина, 10;10;4.0;39
Обводный канал;Студия;http://spb.cian.ru/sale/flat/45737317/;Санкт-Петербург, район Центральный, ул. Тюшина, 6;10;4.1;40
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/42982098/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 185;10;4.2;37
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/13551160/;Санкт-Петербург, район Фрунзенский, Боровая ул., 53к1;5;4.3;32
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/36278777/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 154;2;4.4;44
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/28720198/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 235;10;4.5;44
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/39133919/;Санкт-Петербург, район Фрунзенский, Тамбовская ул., 75;15;4.7;44
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/43737749/;Санкт-Петербург, район Фрунзенский, Боровая ул., 58;5;4.7;45
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/41896134/;Санкт-Петербург, район Фрунзенский, Боровая ул., 72;5;4.9;49
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/35142136/;Санкт-Петербург, район Фрунзенский, Тамбовская ул., 3;5;4.9;54
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/43822991/;Санкт-Петербург, район Фрунзенский, Боровая ул., 72;5;4.9;49
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/13467364/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 183;2;5.2;68
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/38249062/;Санкт-Петербург, район Центральный, ул. Тюшина, 6;5;5.3;37
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/46959182/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 130;5;5.5;44
Обводный канал;2-комнатная;http://spb.cian.ru/sale/flat/46821102/;Санкт-Петербург, район Фрунзенский, Лиговский просп., 166;5;5.5;54
Обводный канал;1-комнатная;http://spb.cian.ru/sale/flat/34148914/;Санкт-Петербург, район Фрунзенский, Тамбовская ул., 33;10;5.5;40
