метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/43078482/;Москва, район Пресненский, ул. Красная Пресня, 12;4;11.3;44
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/29891956/;Москва, район Пресненский, ул. Малая Грузинская, 28;9;19.9;61
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/35729070/;Москва, район Пресненский, ул. Малая Грузинская, 28;9;20.0;58
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/37777444/;Москва, район Дорогомилово, наб. Тараса Шевченко, 5;18;26.5;70
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3286467/;Москва, район Пресненский, Столярный пер., 3к34;6;26.7;100
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/45442569/;Москва, район Пресненский, ул. Красная Пресня, 11;4;8.5;32
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/30052684/;Москва, район Пресненский, пер. Волков, 9С1;4;9.0;38
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/46598689/;Москва, район Пресненский, пер. Волков, 5;4;9.5;33
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/44007385/;Москва, район Пресненский, ул. Красная Пресня, 14;5;10.5;40
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/44761042/;Москва, район Пресненский, ул. Красная Пресня, 14;4;11.0;39
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/31063552/;Москва, район Пресненский, ул. Трехгорный Вал, 16;5;11.1;34
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/43653791/;Москва, район Пресненский, ул. Красная Пресня, 14;4;11.5;39
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/36821758/;Москва, район Пресненский, ул. Красная Пресня, 14;4;11.8;37
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/42436248/;Москва, район Пресненский, Большая Грузинская ул., 16;5;12.0;36
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/37116664/;Москва, район Пресненский, ул. Красная Пресня, 8;3;12.1;40
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/42762048/;Москва, район Пресненский, пер. Волков, 5;4;12.2;37
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/30564406/;Москва, район Пресненский, ул. Красная Пресня, 14;2;13.1;37
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/39634133/;Москва, район Пресненский, ул. Климашкина, 14;10;13.3;42
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/23876514/;Москва, район Пресненский, ул. Малая Грузинская, 6;6;16.0;38
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/44690964/;Москва, район Пресненский, ул. Климашкина, 9;10;16.0;58
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/30188386/;Москва, район Пресненский, Большая Грузинская ул., 16;10;16.9;51
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/46511037/;Москва, район Арбат, Большой Девятинский пер., 5;5;17.5;41
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/38569415/;Москва, район Пресненский, Большой Девятинский пер., 4;7;19.1;60
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/37003222/;Москва, район Пресненский, ул. Малая Грузинская, 28;11;20.0;60
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/30696352/;Москва, район Пресненский, Прокудинский пер., 3;7;25.0;67
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/36051366/;Москва, район Пресненский, Дружинниковская ул., 11/2;4;25.0;53
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3285032/;Москва, район Пресненский, Столярный пер., 3к34;6;27.1;102
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3167243/;Москва, район Пресненский, Столярный пер., 3к34;6;27.9;105
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3282254/;Москва, район Пресненский, Столярный пер., 3к34;6;28.2;105
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3998315/;Москва, район Пресненский, Столярный пер., 3к34;6;28.3;107
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/26718322/;Москва, район Пресненский, Краснопресненская наб., 2/1;7;30.0;65
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/25091734/;Москва, район Пресненский, Столярный пер., 3к34;5;30.4;100
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/39040631/;Москва, район Арбат, Поварская ул., 31/29;7;30.6;43
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/21509783/;Москва, район Пресненский, Краснопресненская наб., 2/1;10;32.0;65
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/45405405/;Москва, район Пресненский, Васильевская ул., 4;15;34.9;46
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/30352210/;Москва, район Пресненский, 2-я Звенигородская ул., 13С4;7;39.7;65
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/26409190/;Москва, район Пресненский, Краснопресненская наб., 2/1;7;46.5;70
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/3285808/;Москва, район Пресненский, Столярный пер., 3к34;6;46.7;156
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/4054667/;Москва, район Пресненский, Столярный пер., 3к34;6;48.1;161
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/22416204/;Москва, район Пресненский, Столярный пер., 3к34;10;64.0;104
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/21303245/;Москва, район Пресненский, Большая Грузинская ул., 37С2;10;69.2;75
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/2966689/;Москва, район Пресненский, Краснопресненская наб., 2/1;9;72.9;101
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/21303845/;Москва, район Пресненский, Большая Грузинская ул., 37С2;10;92.7;130
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/23826150/;Москва, район Арбат, ул. Новый Арбат, 27;20;274.4;194
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/33455254/;Москва, район Пресненский, ул. Заморенова, 25/5;10;11.5;49
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/15830974/;Москва, район Пресненский, Конюшковская ул., 30с2;1;13.0;52
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/37777438/;Москва, район Дорогомилово, наб. Тараса Шевченко, 5;18;26.5;70
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/44807715/;Москва, район Арбат, Большой Девятинский пер., 3;7;27.0;52
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/45794147/;Москва, район Пресненский, Краснопресненская наб., 2/1;5;30.9;65
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/44701842/;Москва, район Пресненский, Краснопресненская наб., 2/1;10;31.0;66
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/30232894/;Москва, район Пресненский, Краснопресненская наб., 2/1;10;43.0;70
Краснопресненская;1-комнатная;http://www.cian.ru/sale/flat/43691903/;Москва, район Пресненский, ул. Николаева, 1;7;11.0;32
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/28536814/;Москва, район Пресненский, Прокудинский пер., 3;7;27.5;62
Краснопресненская;2-комнатная;http://www.cian.ru/sale/flat/46588909/;Москва, район Пресненский, Зоологический пер., 8;8;37.7;79
