метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/23956866/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;16.9;68
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/36454481/;Москва, район Басманный, Нижняя Красносельская ул., 35;7;17.0;49
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/36529750/;Москва, район Басманный, Нижняя Красносельская ул., 35;7;17.0;49
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/22348416/;Москва, район Басманный, Бакунинская ул., 23/41;5;17.0;60
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/1336950/;Москва, район Басманный, ул. Фридриха Энгельса, 46С2;8;17.4;89
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/39869045/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;5;17.5;53
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/2672951/;Москва, район Басманный, Нижняя Красносельская ул., 35;6;17.8;68
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/36436559/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;17.9;68
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/40475225/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;5;17.9;53
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/40474115/;Москва, район Басманный, Плетешковский пер., 6С2;4;17.9;53
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/42975948/;Москва, район Басманный, ул. Фридриха Энгельса, 31/35;5;18.0;54
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/10688529/;Москва, район Басманный, наб. Академика Туполева, 15;13;18.0;31
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/46065617/;Москва, район Басманный, Нижняя Красносельская ул., 35;5;18.8;75
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/46065642/;Москва, район Басманный, Нижняя Красносельская ул., 35;5;18.9;85
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/23956872/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;18.9;73
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/21254591/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;19.0;70
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/4308070/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;19.0;70
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/45166881/;Москва, район Басманный, Гороховский пер., 12;10;19.0;65
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/36436553/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;19.2;72
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/863380/;Москва, район Басманный, Новорязанская ул., 26С1;8;19.5;78
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/2670648/;Москва, район Басманный, Нижняя Красносельская ул., 35;6;19.7;85
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/46424667/;Москва, район Басманный, ул. Фридриха Энгельса, 31/35;10;19.8;68
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/43635551/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;6;19.9;72
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/30912862/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;6;21.9;91
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/28495642/;Москва, район Басманный, Гороховский пер., 12;10;22.0;75
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/43881857/;Москва, район Басманный, пер. Посланников, 11/14;4;8.5;39
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/18747424/;Москва, район Басманный, ул. Фридриха Энгельса, 46С1;12;8.5;46
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/24260610/;Москва, район Басманный, Спартаковская ул., 16к2;2;8.5;35
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/33893824/;Москва, район Басманный, Бауманская ул., 19;5;8.8;45
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/36458417/;Москва, район Басманный, Переведеновский пер., 12;15;9.0;45
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/23549874/;Москва, район Басманный, Доброслободская ул., 12;9;9.0;45
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/23239746/;Москва, район Красносельский, Нижняя Красносельская ул., 28;10;9.0;35
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/35849286/;Москва, район Басманный, Доброслободская ул., 8;8;9.2;34
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/15793204/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;6;9.7;39
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/39656405/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;5;9.9;39
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/46065607/;Москва, район Басманный, Нижняя Красносельская ул., 35;5;10.0;40
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/33314938/;Москва, район Басманный, Старокирочный пер., 16/2С5;10;10.0;45
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/40490879/;Москва, район Басманный, Спартаковская пл., 1/2;7;10.0;59
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/2670660/;Москва, район Басманный, Нижняя Красносельская ул., 35;6;10.5;40
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/3243467/;Москва, район Басманный, Спартаковская пл., 1/2;5;10.6;60
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/30155104/;Москва, район Басманный, Рубцовская наб., 4К3;20;10.8;38
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/37067470/;Москва, район Басманный, Рубцовская наб., 4К3;12;10.9;39
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/35947608/;Москва, район Басманный, Большая Почтовая ул., 18/20К9;12;10.9;58
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/45922927/;Москва, район Басманный, Нижняя Красносельская ул., 35С1;10;11.2;46
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/23910408/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;5;11.5;38
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/27762382/;Москва, район Басманный, Бакунинская ул., 62-68С1;11;11.6;49
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/39657245/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;5;12.0;43
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/16355542/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;10;12.2;40
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/40457561/;Москва, район Басманный, Спартаковская ул., 16к2;2;12.3;61
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/2669623/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;12.3;39
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/1336701/;Москва, район Басманный, ул. Фридриха Энгельса, 46;8;12.5;49
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/23551992/;Москва, район Басманный, ул. Фридриха Энгельса, 7-21;2;12.9;55
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/42632364/;Москва, район Басманный, Нижняя Красносельская ул., 35С50;3;12.9;53
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/38729693/;Москва, район Басманный, Нижняя Красносельская ул., 35С48;5;12.9;53
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/11020033/;Москва, район Басманный, ул. Фридриха Энгельса, 46;10;13.0;90
Бауманская;1-комнатная;http://www.cian.ru/sale/flat/1336615/;Москва, район Басманный, ул. Фридриха Энгельса, 46С1;9;13.2;40
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/40842161/;Москва, район Басманный, Нижняя Красносельская ул., 43;4;13.5;54
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/1340539/;Москва, район Басманный, ул. Фридриха Энгельса, 46С7;8;13.6;89
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/31010038/;Москва, район Басманный, Большая Почтовая ул., 18/20К4;15;14.0;54
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/2438951/;Москва, район Басманный, ул. Фридриха Энгельса, 46;8;14.2;80
Бауманская;2-комнатная;http://www.cian.ru/sale/flat/35906592/;Москва, район Лефортово, Красноказарменная ул., 3;17;15.0;57
