метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/42591984/;Москва, район Тверской, Малый Палашевский пер., 2/8;2;18.5;42
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/35866344/;Москва, район Тверской, Тверская ул., 19;1;41.4;76
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/18744994/;Москва, район Пресненский, Вознесенский пер., 16/4;10;61.9;70
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/3318496/;Москва, район Пресненский, Вознесенский пер., 16/4;7;61.9;70
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/12788494/;Москва, район Пресненский, Вознесенский пер., 16/4;10;72.9;70
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/42578124/;Москва, район Пресненский, Малая Бронная ул., 27/14;8;113.0;88
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/42577326/;Москва, район Пресненский, Малая Бронная ул., 27/14;8;113.0;88
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/45275733/;Москва, район Пресненский, Малый Козихинский пер., 3;8;135.2;93
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/31159354/;Москва, район Тверской, Большой Гнездниковский пер., 10;4;15.5;37
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/41302427/;Москва, район Тверской, Малый Палашевский пер., 2/8;2;18.5;41
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/41453933/;Москва, район Тверской, Малый Палашевский пер., 2/8;2;18.5;43
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/26972926/;Москва, район Тверской, Оружейный пер., 25/1;8;21.0;68
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/43387985/;Москва, район Тверской, Тверская ул., 15;2;21.0;56
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/24804826/;Москва, район Тверской, Тверская ул., 19;1;21.8;52
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/33274546/;Москва, район Пресненский, Большая Бронная ул., 17;5;22.5;57
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/45566441/;Москва, район Тверской, Воротниковский пер., 11С2;5;23.9;68
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/36457793/;Москва, район Тверской, Петровский бул., 17/1;5;24.0;58
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/45799222/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;5;25.9;45
Пушкинская;2-комнатная;http://www.cian.ru/sale/flat/25049212/;Москва, район Пресненский, Спиридоньевский пер., 5С2;5;29.6;45
