метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/46853997/;Москва, район Братеево, Братеевская ул., 16К1;2;7.5;51
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/37178800/;Москва, район Братеево, Алма-Атинская ул., 5;12;7.5;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/37012174/;Москва, район Братеево, Братеевская ул., 39/12;5;7.6;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/34471792/;Москва, район Братеево, Братеевская ул., 39/12;5;7.6;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/13409522/;Москва, район Братеево, Алма-Атинская ул., 5;8;7.6;56
Алма-Атинская;1-комнатная;http://www.cian.ru/sale/flat/46616732/;Москва, район Братеево, ул. Борисовские Пруды, 42;15;7.6;39
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/36650524/;Москва, район Братеево, Алма-Атинская ул., 8К1;8;7.8;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/34464970/;Москва, район Братеево, Братеевская ул., 33К2;5;7.9;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/34902850/;Москва, район Братеево, Братеевская ул., 39/12;7;7.9;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/44714850/;Москва, район Братеево, Братеевская ул., 23К1;8;8.0;59
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/39568013/;Москва, район Братеево, Алма-Атинская ул., 5;10;8.0;51
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/44814715/;Москва, район Братеево, Ключевая ул., 12К1;5;8.1;51
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/44216652/;Москва, район Братеево, ул. Борисовские Пруды, 34К1;10;8.1;58
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/47121347/;Москва, район Братеево, Ключевая ул., 10К2;7;8.2;53
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/21486941/;Москва, район Братеево, Алма-Атинская ул., 8К1;10;8.2;55
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/43544471/;Москва, район Братеево, ул. Борисовские Пруды, 34К2;9;8.3;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/1030699/;Москва, район Братеево, Алма-Атинская ул., 2;10;8.3;58
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/39105131/;Москва, район Братеево, ул. Борисовские Пруды, 32;10;8.3;58
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/32358808/;Москва, район Братеево, Алма-Атинская ул., 5;10;8.4;53
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/39566459/;Москва, район Братеево, ул. Борисовские Пруды, 34К2;9;8.5;51
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/25851688/;Москва, район Братеево, Братеевская ул., 8К4;5;8.5;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/43828481/;Москва, район Братеево, ул. Борисовские Пруды, 34К2;10;8.6;51
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/32047132/;Москва, район Братеево, Братеевская ул., 35К3;10;8.6;53
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/24213960/;Москва, район Братеево, Ключевая ул., 10К2;7;8.6;52
Алма-Атинская;2-комнатная;http://www.cian.ru/sale/flat/36486424/;Москва, район Братеево, Алма-Атинская ул., 3К2;12;8.7;52
Алма-Атинская;1-комнатная;http://www.cian.ru/sale/flat/43518047/;Москва, район Братеево, Алма-Атинская ул., 8К1;7;5.4;40
