метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/34152730/;Москва, район Басманный, Хитровский пер., 3/1С1;7;25.0;63
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/43395581/;Москва, район Басманный, Подкопаевский пер., 9С1;6;30.0;65
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/43391543/;Москва, район Басманный, Старосадский пер., 10С1;4;30.0;72
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/39221489/;Москва, район Басманный, ул. Солянка, 1/2С2;7;43.0;45
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/21287237/;Москва, район Басманный, ул. Солянка, 1/2;10;45.0;46
Китай-город;1-комнатная;http://www.cian.ru/sale/flat/44962557/;Москва, район Басманный, Хохловский пер., 10С7;9;12.5;33
Китай-город;1-комнатная;http://www.cian.ru/sale/flat/18172282/;Москва, район Таганский, Подколокольный пер., 16/2С1;5;12.9;31
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/2903050/;Москва, район Басманный, Дурасовский пер., 9;11;19.8;67
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/12582262/;Москва, район Таганский, Певческий пер., 1/2С3-3а;8;24.3;66
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/26819653/;Москва, район Басманный, ул. Покровка, 44;10;29.7;67
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/12166144/;Москва, район Басманный, Потаповский пер., 10;7;38.0;66
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/25652506/;Москва, район Таганский, Котельническая наб., 1/15кБ;14;40.0;67
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/45749701/;Москва, район Басманный, ул. Солянка, 1/2;3;40.0;46
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/45770025/;Москва, район Басманный, ул. Солянка, 1/2С2;4;40.0;46
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/43312572/;Москва, район Басманный, ул. Солянка, 1/2С2;2;54.6;80
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/2384238/;Москва, район Красносельский, Милютинский пер., 11;10;58.3;70
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/38877557/;Москва, район Басманный, Казарменный пер., 3;10;72.9;106
Китай-город;1-комнатная;http://www.cian.ru/sale/flat/23688144/;Москва, район Басманный, ул. Солянка, 1/2;5;75.0;53
Китай-город;1-комнатная;http://www.cian.ru/sale/flat/43645955/;Москва, район Басманный, ул. Солянка, 1/2;2;75.0;53
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/45555539/;Москва, район Басманный, ул. Маросейка, 10/1;5;120.0;100
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/42110166/;Москва, район Таганский, Серебряническая наб., 19;10;138.5;138
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/42927792/;Москва, район Таганский, Серебряническая наб., 19;10;138.5;138
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/45760671/;Москва, район Таганский, Серебряническая наб., 19;11;138.5;138
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/38628785/;Москва, район Таганский, Серебряническая наб., 19;11;153.1;138
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/39655961/;Москва, район Таганский, Серебряническая наб., 19;5;291.7;210
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/30873898/;Москва, район Басманный, Большой Трехсвятительский пер., 1;15;16.8;51
Китай-город;1-комнатная;http://www.cian.ru/sale/flat/39749117/;Москва, район Басманный, ул. Солянка, 1/2С2;2;38.8;53
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/23040594/;Москва, район Таганский, Котельническая наб., 1/15;5;45.9;92
Китай-город;2-комнатная;http://www.cian.ru/sale/flat/12179314/;Москва, район Таганский, Серебрянический пер., 9;10;19.3;66
