метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Полянка;1-комнатная;http://www.cian.ru/sale/flat/45271503/;Москва, район Якиманка, ул. Большая Полянка, 30;4;8.0;35
Полянка;1-комнатная;http://www.cian.ru/sale/flat/45947172/;Москва, район Якиманка, ул. Большая Полянка, 30;4;11.5;38
Полянка;1-комнатная;http://www.cian.ru/sale/flat/23905254/;Москва, район Якиманка, ул. Большая Полянка, 30;4;11.9;38
Полянка;1-комнатная;http://www.cian.ru/sale/flat/37776568/;Москва, район Якиманка, ул. Большая Полянка, 30;3;15.0;35
Полянка;2-комнатная;http://www.cian.ru/sale/flat/43900331/;Москва, район Якиманка, ул. Большая Полянка, 30;4;15.9;46
Полянка;1-комнатная;http://www.cian.ru/sale/flat/18998674/;Москва, район Якиманка, ул. Большая Полянка, 43С3;4;21.8;38
Полянка;2-комнатная;http://www.cian.ru/sale/flat/43885313/;Москва, район Якиманка, ул. Большая Якиманка, 22;10;50.0;50
Полянка;2-комнатная;http://www.cian.ru/sale/flat/32588914/;Москва, район Якиманка, ул. Большая Якиманка, 17/2С1;3;110.7;123
Полянка;2-комнатная;http://www.cian.ru/sale/flat/32589004/;Москва, район Якиманка, ул. Большая Якиманка, 17/2С1;3;114.8;116
Полянка;2-комнатная;http://www.cian.ru/sale/flat/32588926/;Москва, район Якиманка, ул. Большая Якиманка, 17/2С1;3;123.3;137
Полянка;2-комнатная;http://www.cian.ru/sale/flat/32588944/;Москва, район Якиманка, ул. Большая Якиманка, 17/2С1;3;133.2;185
Полянка;2-комнатная;http://www.cian.ru/sale/flat/32588998/;Москва, район Якиманка, ул. Большая Якиманка, 17/2С1;3;166.7;195
Полянка;2-комнатная;http://www.cian.ru/sale/flat/3714605/;Москва, район Якиманка, ул. Малая Полянка, 2;10;182.3;112
Полянка;1-комнатная;http://www.cian.ru/sale/flat/40905539/;Москва, район Якиманка, ул. Большая Полянка, 28к1;3;12.5;42
Полянка;2-комнатная;http://www.cian.ru/sale/flat/43199442/;Москва, район Якиманка, ул. Большая Полянка, 30;1;13.4;50
Полянка;2-комнатная;http://www.cian.ru/sale/flat/33762988/;Москва, район Якиманка, ул. Большая Полянка, 30;4;14.0;45
Полянка;2-комнатная;http://www.cian.ru/sale/flat/27371740/;Москва, район Якиманка, ул. Большая Полянка, 30;3;14.2;46
Полянка;1-комнатная;http://www.cian.ru/sale/flat/44960543/;Москва, район Якиманка, ул. Большая Полянка, 28к1;1;14.5;39
Полянка;2-комнатная;http://www.cian.ru/sale/flat/36992602/;Москва, район Якиманка, ул. Большая Полянка, 28к1;1;15.0;46
Полянка;2-комнатная;http://www.cian.ru/sale/flat/37205236/;Москва, район Якиманка, ул. Большая Полянка, 28к1;2;15.2;46
Полянка;2-комнатная;http://www.cian.ru/sale/flat/46598724/;Москва, район Якиманка, ул. Большая Якиманка, 32;5;15.5;43
Полянка;2-комнатная;http://www.cian.ru/sale/flat/44714298/;Москва, район Якиманка, ул. Большая Полянка, 30;4;15.5;47
Полянка;2-комнатная;http://www.cian.ru/sale/flat/17843164/;Москва, район Якиманка, ул. Большая Полянка, 1/3;6;24.1;62
Полянка;2-комнатная;http://www.cian.ru/sale/flat/46611224/;Москва, район Якиманка, ул. Большая Полянка, 1/3;5;25.8;62
Полянка;2-комнатная;http://www.cian.ru/sale/flat/36001332/;Москва, район Якиманка, ул. Большая Полянка, 19;10;32.8;55
Полянка;2-комнатная;http://www.cian.ru/sale/flat/37956910/;Москва, район Якиманка, ул. Большая Полянка, 1/3;5;34.0;56
Полянка;2-комнатная;http://www.cian.ru/sale/flat/31069984/;Москва, район Якиманка, ул. Большая Полянка, 44;5;34.8;50
Полянка;1-комнатная;http://www.cian.ru/sale/flat/12145111/;Москва, район Якиманка, Старомонетный пер., 18;3;35.7;26
Полянка;2-комнатная;http://www.cian.ru/sale/flat/25809526/;Москва, район Якиманка, ул. Большая Полянка, 44;10;37.2;58
