метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/46194492/;Москва, район Южнопортовый, ул. Мельникова, 3к5;8;10.7;50
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44934563/;Москва, район Таганский, Малая Калитниковская ул., 18;12;7.4;35
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/41945202/;Москва, район Таганский, Малая Калитниковская ул., 47ак2;15;7.5;36
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/41156675/;Москва, район Таганский, Волгоградский просп., 22;5;7.9;39
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/33272974/;Москва, район Таганский, пер. Большой Симоновский, 11;6;9.5;46
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/41583618/;Москва, район Таганский, Малая Калитниковская ул., 16;8;9.7;38
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/46518062/;Москва, район Южнопортовый, ул. Мельникова, 3к7;10;11.0;48
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/35312728/;Москва, район Южнопортовый, ул. Мельникова, 3к5;8;11.3;50
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/18104068/;Москва, район Южнопортовый, ул. Мельникова, 3к7;10;11.3;48
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/24533692/;Москва, район Южнопортовый, ул. Мельникова, 3к7;10;11.6;48
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/37860724/;Москва, район Южнопортовый, Волгоградский просп., 26А;6;12.0;43
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/46535587/;Москва, район Южнопортовый, Волгоградский просп., 26А;6;12.0;46
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/28183972/;Москва, район Южнопортовый, ул. Мельникова, 3к4;5;14.6;62
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/41614224/;Москва, район Южнопортовый, ул. Мельникова, 3к4;3;19.0;101
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44806231/;Москва, район Южнопортовый, ул. Мельникова, 3к7;7;10.3;50
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44806183/;Москва, район Южнопортовый, ул. Мельникова, 3к3;7;10.3;50
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44806091/;Москва, район Южнопортовый, ул. Мельникова, 3к6;5;11.0;48
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44807219/;Москва, район Южнопортовый, ул. Мельникова, 3к6;5;11.5;48
Волгоградский проспект;2-комнатная;http://www.cian.ru/sale/flat/44807187/;Москва, район Южнопортовый, ул. Мельникова, 3к5;5;15.9;71
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/44539080/;Москва, район Южнопортовый, Волгоградский просп., 26;5;10.9;46
Волгоградский проспект;1-комнатная;http://www.cian.ru/sale/flat/29886220/;Москва, район Южнопортовый, ул. Мельникова, 3к7;5;11.5;48
