метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Академическая;2-комнатная;http://www.cian.ru/sale/flat/44406366/;Москва, район Гагаринский, Ленинский просп., 67АС1;5;19.9;57
Академическая;2-комнатная;http://www.cian.ru/sale/flat/37867810/;Москва, район Академический, ул. Дмитрия Ульянова, 31;15;43.4;89
Академическая;2-комнатная;http://www.cian.ru/sale/flat/39892865/;Москва, район Академический, ул. Дмитрия Ульянова, 6к1;5;49.0;91
Академическая;2-комнатная;http://www.cian.ru/sale/flat/38569475/;Москва, район Академический, ул. Дмитрия Ульянова, 6к1;5;59.0;91
Академическая;2-комнатная;http://www.cian.ru/sale/flat/39171701/;Москва, район Академический, ул. Дмитрия Ульянова, 6к1;14;59.0;91
Академическая;1-комнатная;http://www.cian.ru/sale/flat/36701086/;Москва, район Академический, просп. 60-летия Октября, 23К2;6;6.0;30
Академическая;1-комнатная;http://www.cian.ru/sale/flat/37662040/;Москва, район Академический, просп. 60-летия Октября, 18К3;3;7.5;32
Академическая;2-комнатная;http://www.cian.ru/sale/flat/41065403/;Москва, район Академический, ул. Дмитрия Ульянова, 13К2;5;7.5;42
Академическая;1-комнатная;http://www.cian.ru/sale/flat/19565812/;Москва, район Академический, Новочеремушкинская ул., 24;10;7.9;33
Академическая;1-комнатная;http://www.cian.ru/sale/flat/31232890/;Москва, район Гагаринский, ул. Вавилова, 54К2;10;8.7;36
Академическая;2-комнатная;http://www.cian.ru/sale/flat/33009778/;Москва, район Академический, Новочеремушкинская ул., 24;9;8.8;45
Академическая;1-комнатная;http://www.cian.ru/sale/flat/31386820/;Москва, район Академический, ул. Кедрова, 21;8;8.8;39
Академическая;2-комнатная;http://www.cian.ru/sale/flat/26821698/;Москва, район Котловка, ул. Винокурова, 17К3;18;9.0;45
Академическая;1-комнатная;http://www.cian.ru/sale/flat/39212657/;Москва, район Гагаринский, ул. Вавилова, 48;11;9.4;37
Академическая;1-комнатная;http://www.cian.ru/sale/flat/19714522/;Москва, район Академический, просп. 60-летия Октября, 19С2;3;9.9;54
Академическая;1-комнатная;http://www.cian.ru/sale/flat/32451508/;Москва, район Академический, ул. Шверника, 11К3;13;10.0;37
Академическая;1-комнатная;http://www.cian.ru/sale/flat/23999778/;Москва, район Академический, просп. 60-летия Октября, 19;9;10.0;51
Академическая;1-комнатная;http://www.cian.ru/sale/flat/30056536/;Москва, район Академический, ул. Винокурова, 2;5;11.7;37
Академическая;2-комнатная;http://www.cian.ru/sale/flat/35885664/;Москва, район Академический, Большая Черемушкинская ул., 32К1;15;11.9;57
Академическая;2-комнатная;http://www.cian.ru/sale/flat/43538495/;Москва, район Академический, просп. 60-летия Октября, 10;5;12.1;42
Академическая;2-комнатная;http://www.cian.ru/sale/flat/13114195/;Москва, район Академический, ул. Кедрова, 13К2;3;12.1;56
Академическая;2-комнатная;http://www.cian.ru/sale/flat/41984418/;Москва, район Академический, ул. Дмитрия Ульянова, 30;6;12.5;53
Академическая;2-комнатная;http://www.cian.ru/sale/flat/36558694/;Москва, район Академический, Большая Черемушкинская ул., 30К1;13;12.6;67
Академическая;2-комнатная;http://www.cian.ru/sale/flat/43653809/;Москва, район Академический, ул. Ивана Бабушкина, 4К1;7;14.0;51
Академическая;2-комнатная;http://www.cian.ru/sale/flat/34761256/;Москва, район Академический, Новочеремушкинская ул., 23к4;11;14.5;55
Академическая;2-комнатная;http://www.cian.ru/sale/flat/28873720/;Москва, район Академический, Большая Черемушкинская ул., 26К4;12;14.6;57
Академическая;2-комнатная;http://www.cian.ru/sale/flat/44406366/;Москва, район Гагаринский, Ленинский просп., 67АС1;5;19.9;57
Академическая;1-комнатная;http://www.cian.ru/sale/flat/42814452/;Москва, район Котловка, ул. Дмитрия Ульянова, 43К1;12;6.4;32
Академическая;1-комнатная;http://www.cian.ru/sale/flat/41791026/;Москва, район Академический, ул. Шверника, 5К2;12;6.5;31
Академическая;1-комнатная;http://www.cian.ru/sale/flat/43619483/;Москва, район Академический, ул. Винокурова, 12К4;12;6.6;35
Академическая;1-комнатная;http://www.cian.ru/sale/flat/46418867/;Москва, район Котловка, ул. Винокурова, 17К1;17;6.7;35
Академическая;2-комнатная;http://www.cian.ru/sale/flat/26218354/;Москва, район Академический, ул. Винокурова, 15К1;15;6.8;43
Академическая;1-комнатная;http://www.cian.ru/sale/flat/45988894/;Москва, район Котловка, ул. Винокурова, 17К1;17;6.7;35
Академическая;1-комнатная;http://www.cian.ru/sale/flat/46024347/;Москва, район Котловка, ул. Винокурова, 17К1;17;6.8;35
Академическая;1-комнатная;http://www.cian.ru/sale/flat/17224384/;Москва, район Академический, просп. 60-летия Октября, 31/18К3;3;6.9;32
Академическая;1-комнатная;http://www.cian.ru/sale/flat/36919372/;Москва, район Академический, просп. 60-летия Октября, 27К2;4;7.0;28
Академическая;2-комнатная;http://www.cian.ru/sale/flat/39654557/;Москва, район Академический, ул. Ивана Бабушкина, 18К1;10;7.1;40
Академическая;2-комнатная;http://www.cian.ru/sale/flat/43957810/;Москва, район Академический, просп. 60-летия Октября, 31/18К2;2;7.2;38
Академическая;1-комнатная;http://www.cian.ru/sale/flat/46087297/;Москва, район Академический, Большая Черемушкинская ул., 14К1;7;7.2;36
Академическая;2-комнатная;http://www.cian.ru/sale/flat/17789824/;Москва, район Академический, Большая Черемушкинская ул., 14К2;13;7.4;45
Академическая;2-комнатная;http://www.cian.ru/sale/flat/44763611/;Москва, район Академический, Новочеремушкинская ул., 1/14к3;15;7.4;44
Академическая;2-комнатная;http://www.cian.ru/sale/flat/44677674/;Москва, район Котловка, Большая Черемушкинская ул., 19К4;15;7.5;39
Академическая;1-комнатная;http://www.cian.ru/sale/flat/18925282/;Москва, район Академический, ул. Шверника, 13К3;7;7.5;35
Академическая;2-комнатная;http://www.cian.ru/sale/flat/43258446/;Москва, район Академический, Новочеремушкинская ул., 29;12;7.7;46
Академическая;2-комнатная;http://www.cian.ru/sale/flat/40013531/;Москва, район Академический, просп. 60-летия Октября, 31/18К2;2;7.7;36
Академическая;1-комнатная;http://www.cian.ru/sale/flat/36452825/;Москва, район Котловка, ул. Винокурова, 24К4;15;7.7;37
Академическая;1-комнатная;http://www.cian.ru/sale/flat/28180360/;Москва, район Академический, Большая Черемушкинская ул., 24к1;10;7.8;40
Академическая;2-комнатная;http://www.cian.ru/sale/flat/19396822/;Москва, район Академический, Большая Черемушкинская ул., 4;17;8.1;44
Академическая;2-комнатная;http://www.cian.ru/sale/flat/28543018/;Москва, район Академический, Новочеремушкинская ул., 3АК2;15;8.2;43
Академическая;2-комнатная;http://www.cian.ru/sale/flat/38184208/;Москва, район Академический, ул. Дмитрия Ульянова, 17К1;2;8.3;43
Академическая;1-комнатная;http://www.cian.ru/sale/flat/21555255/;Москва, район Академический, ул. Кедрова, 18к1;5;8.4;35
Академическая;2-комнатная;http://www.cian.ru/sale/flat/40466069/;Москва, район Котловка, ул. Винокурова, 22К2;12;8.4;45
Академическая;2-комнатная;http://www.cian.ru/sale/flat/44406366/;Москва, район Гагаринский, Ленинский просп., 67АС1;5;19.9;57
Академическая;2-комнатная;http://www.cian.ru/sale/flat/30843742/;Москва, район Академический, ул. Кедрова, 16К2;10;8.4;46
Академическая;2-комнатная;http://www.cian.ru/sale/flat/34579372/;Москва, район Академический, просп. 60-летия Октября, 31/18К1;2;8.5;43
Академическая;1-комнатная;http://www.cian.ru/sale/flat/32235736/;Москва, район Академический, ул. Шверника, 11К3;10;8.6;36
Академическая;1-комнатная;http://www.cian.ru/sale/flat/31056460/;Москва, район Академический, ул. Кедрова, 26/22;9;8.8;38
Академическая;1-комнатная;http://www.cian.ru/sale/flat/40537463/;Москва, район Академический, ул. Кедрова, 26/22;9;8.9;40
Академическая;1-комнатная;http://www.cian.ru/sale/flat/39559673/;Москва, район Академический, ул. Кедрова, 22;8;8.9;39
Академическая;2-комнатная;http://www.cian.ru/sale/flat/17811298/;Москва, район Академический, ул. Ивана Бабушкина, 12К2;9;9.0;45
Академическая;2-комнатная;http://www.cian.ru/sale/flat/29342128/;Москва, район Академический, ул. Шверника, 13К3;10;9.1;38
Академическая;1-комнатная;http://www.cian.ru/sale/flat/24010608/;Москва, район Гагаринский, ул. Вавилова, 56К2;15;9.3;36
Академическая;2-комнатная;http://www.cian.ru/sale/flat/38945435/;Москва, район Академический, Большая Черемушкинская ул., 14К1;15;9.5;46
Академическая;1-комнатная;http://www.cian.ru/sale/flat/44675238/;Москва, район Академический, Новочеремушкинская ул., 8;8;9.5;38
Академическая;1-комнатная;http://www.cian.ru/sale/flat/25782808/;Москва, район Академический, ул. Вавилова, 25;10;9.5;40
