метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/4449051/;Москва, район Пресненский, наб. Пресненская, 8с1;4;196.9;107
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/42399048/;Москва, район Пресненский, ул. Антонова-Овсеенко, 9;7;8.0;43
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/44807127/;Москва, район Пресненский, Стрельбищенский пер., 5;10;10.0;43
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/1968983/;Москва, район Пресненский, Шелепихинская наб., 4С1;12;10.3;55
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/44964847/;Москва, район Дорогомилово, наб. Тараса Шевченко, 23;2;15.0;36
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/44805639/;Москва, район Пресненский, наб. Пресненская, 8с1;2;48.0;107
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/44805635/;Москва, район Пресненский, наб. Пресненская, 8с1;2;50.0;84
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/40620545/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;157.1;195
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/45986049/;Москва, район Пресненский, ул. Подвойского, 8;15;12.0;47
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/43906485/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;98.4;99
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/38396284/;Москва, район Пресненский, ул. Литвина-Седого, 13;17;7.0;34
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/22449978/;Москва, район Пресненский, ул. Антонова-Овсеенко, 5К2;6;9.9;38
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/39391043/;Москва, район Пресненский, Стрельбищенский пер., 9;14;10.0;56
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/34971100/;Москва, район Пресненский, Стрельбищенский пер., 5С3;7;10.0;40
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/43653461/;Москва, район Пресненский, Стрельбищенский пер., 5;10;11.0;42
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/38072356/;Москва, район Дорогомилово, Кутузовский просп., 15;10;12.5;35
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/37783000/;Москва, район Пресненский, Стрельбищенский пер., 24;12;12.5;50
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/25850998/;Москва, район Пресненский, ул. Сергея Макеева, 1;10;17.5;38
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/15793198/;Москва, район Пресненский, 3-я Красногвардейская ул., 3;10;19.0;53
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/25732390/;Москва, район Дорогомилово, Кутузовский просп., 22;5;20.0;70
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/16537672/;Москва, район Дорогомилово, Кутузовский просп., 22;8;20.0;70
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/24008142/;Москва, район Пресненский, 3-я Красногвардейская ул., 3;10;21.9;52
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/25412746/;Москва, район Пресненский, Шмитовский проезд, 16С2;12;26.0;70
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588440/;Москва, район Пресненский, наб. Пресненская, 10с1;3;26.7;58
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588422/;Москва, район Пресненский, наб. Пресненская, 10с1;3;28.8;60
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588368/;Москва, район Пресненский, наб. Пресненская, 10с1;3;29.8;58
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/16355122/;Москва, район Пресненский, 1-й Красногвардейский проезд, 18К2;10;30.0;65
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/44416668/;Москва, район Пресненский, Шмитовский проезд, 16С2;12;30.0;68
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588410/;Москва, район Пресненский, наб. Пресненская, 10с1;3;30.2;60
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588386/;Москва, район Пресненский, наб. Пресненская, 10с1;3;33.8;64
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/40967351/;Москва, район Пресненский, 3-я Красногвардейская ул., 3;8;36.0;80
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/22417530/;Москва, район Пресненский, наб. Пресненская, 11;10;40.1;94
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/22417110/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;10;40.3;111
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/22417500/;Москва, район Пресненский, наб. Пресненская, 11;10;41.1;96
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588398/;Москва, район Пресненский, наб. Пресненская, 10с1;3;42.2;88
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588362/;Москва, район Пресненский, наб. Пресненская, 10с1;3;43.7;89
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/16229530/;Москва, район Пресненский, наб. Пресненская, 12;2;44.2;79
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588446/;Москва, район Пресненский, наб. Пресненская, 10с1;3;45.3;99
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/32589076/;Москва, район Пресненский, наб. Пресненская, 8с1;2;47.4;92
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/16355134/;Москва, район Пресненский, 1-й Красногвардейский проезд, 18К2;10;48.8;94
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/22417092/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;10;49.3;113
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21371075/;Москва, район Пресненский, 1-й Красногвардейский проезд, 13С1;10;50.6;81
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/32588428/;Москва, район Пресненский, наб. Пресненская, 10с1;3;50.8;105
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/22417152/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;10;51.9;114
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21371159/;Москва, район Пресненский, 1-й Красногвардейский проезд, 13С1;10;53.9;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38048596/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;56.3;102
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38668103/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;10;56.6;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/26946070/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;56.6;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19808999/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;56.6;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21371141/;Москва, район Пресненский, 1-й Красногвардейский проезд, 13С1;10;58.4;97
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38930003/;Москва, район Пресненский, наб. Пресненская, 6с2;4;60.0;153
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38666147/;Москва, район Пресненский, наб. Пресненская, 6с2;10;61.2;70
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/4310650/;Москва, район Пресненский, Шмитовский проезд, 16С1;10;61.9;93
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/18013066/;Москва, район Пресненский, наб. Пресненская, 12;5;61.9;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/46064782/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;5;63.2;100
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21138095/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;64.6;97
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/2847065/;Москва, район Пресненский, 3-я Красногвардейская ул., 3;8;64.7;97
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38047924/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;64.7;98
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38044258/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;65.0;114
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/23635248/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;66.4;99
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/21371525/;Москва, район Пресненский, наб. Пресненская, 6с2;10;67.9;89
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/34803418/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;68.5;100
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/46522867/;Москва, район Пресненский, наб. Пресненская, 6с2;5;69.0;153
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/26946034/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;69.8;98
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21137987/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;70.2;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21137969/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;70.9;107
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19809071/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;72.1;111
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21137963/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;72.1;111
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38877851/;Москва, район Пресненский, наб. Пресненская, 6с2;10;72.9;131
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19809011/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;73.5;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/30055738/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;7;74.3;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/46522877/;Москва, район Пресненский, наб. Пресненская, 8с1;5;75.0;158
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21137957/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;75.7;117
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/26945968/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;76.5;114
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19809047/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;76.5;114
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38666099/;Москва, район Пресненский, наб. Пресненская, 6с2;10;78.1;126
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/30055786/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;7;78.1;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/26945956/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;79.7;103
Выставочная;1-комнатная;http://www.cian.ru/sale/flat/21371609/;Москва, район Пресненский, наб. Пресненская, 6с2;10;80.1;105
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/11670538/;Москва, район Пресненский, наб. Пресненская, 8с1;5;80.2;107
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/38049766/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;81.7;103
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/26946016/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;82.6;81
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/4310074/;Москва, район Пресненский, Шмитовский проезд, 16С1;10;83.1;85
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19808975/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;83.2;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/12108103/;Москва, район Пресненский, наб. Пресненская, 8;4;85.0;109
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/43524491/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;5;86.4;114
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/19786547/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;86.6;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/21137981/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;3;86.6;108
Выставочная;2-комнатная;http://www.cian.ru/sale/flat/16355200/;Москва, район Пресненский, 1-й Красногвардейский проезд, 15;10;87.5;81
