метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/42479382/;Москва, район Тверской, Никоновский пер., 3/1;5;16.8;53
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/46952897/;Москва, район Марьина роща, ул. Образцова, 8А;8;9.0;36
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/36001944/;Москва, район Тверской, Самотечная ул., 11;6;9.4;38
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/36786034/;Москва, район Марьина роща, Октябрьская ул., 38К4;7;12.9;58
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/23381838/;Москва, район Тверской, 3-й Самотечный пер., 13;4;13.5;44
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/37965556/;Москва, район Марьина роща, Октябрьская ул., 1;5;16.1;51
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/41147135/;Москва, район Тверской, Никоновский пер., 3/1;5;16.8;53
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/40823873/;Москва, район Тверской, 3-й Самотечный пер., 2;3;20.0;55
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/21306815/;Москва, район Мещанский, ул. Советской Армии, 6;10;53.5;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/36819952/;Москва, район Мещанский, ул. Советской Армии, 6;10;126.7;92
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/40366187/;Москва, район Марьина роща, ул. Советской Армии, 13;10;8.9;33
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/28204180/;Москва, район Марьина роща, ул. Образцова, 8А;10;9.0;33
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/31075252/;Москва, район Тверской, Самотечная ул., 13;5;9.0;32
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/24801832/;Москва, район Марьина роща, ул. Образцова, 8А;8;9.7;42
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/25114888/;Москва, район Мещанский, Олимпийский просп., 10;8;10.0;32
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/18576328/;Москва, район Марьина роща, Октябрьская ул., 33;7;10.0;41
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46697907/;Москва, район Марьина роща, Октябрьская ул., 20;10;11.5;45
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46637192/;Москва, район СВАО, Октябрьская ул., 9/1;6;12.0;52
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/30825316/;Москва, район Тверской, 3-й Самотечный пер., 21;4;12.0;35
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/32068114/;Москва, район Мещанский, Олимпийский просп., 10;8;12.2;40
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/46695692/;Москва, район Тверской, 3-й Самотечный пер., 13;4;12.3;40
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/32791000/;Москва, район Марьина роща, Октябрьская ул., 19;5;12.4;45
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/41995026/;Москва, район Тверской, Делегатская ул., 14/2;8;12.4;36
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/37128034/;Москва, район Марьина роща, Октябрьская ул., 33;7;12.5;54
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/35337244/;Москва, район Мещанский, пер. Выползов, 10;10;12.5;40
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46701597/;Москва, район Марьина роща, ул. Советской Армии, 17/52;12;13.2;55
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/42479382/;Москва, район Тверской, Никоновский пер., 3/1;5;16.8;53
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/33674842/;Москва, район Мещанский, Олимпийский просп., 10;8;13.2;40
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/19303732/;Москва, район Тверской, Самотечная ул., 17А;2;13.5;38
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/42608640/;Москва, район Мещанский, Олимпийский просп., 22;10;13.7;54
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/28337464/;Москва, район Тверской, Селезневская ул., 34К1;10;16.3;48
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46980014/;Москва, район Тверской, Новослободская ул., 57/65;10;17.0;60
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/45039419/;Москва, район Тверской, 3-й Самотечный пер., 2;3;17.5;49
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/37215292/;Москва, район Марьина роща, Октябрьская ул., 1;5;18.4;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/37632382/;Москва, район Марьина роща, Октябрьская ул., 1;5;18.5;50
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/45626511/;Москва, район Тверской, Самотечная ул., 17А;2;20.5;50
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/23242074/;Москва, район Марьина роща, Октябрьская ул., 1;5;22.0;61
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/23468202/;Москва, район Мещанский, ул. Дурова, 13/1;4;22.9;70
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/28374940/;Москва, район Тверской, Самотечная ул., 17А;3;23.0;50
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46750587/;Москва, район Тверской, 3-й Самотечный пер., 16;3;26.5;60
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/24803296/;Москва, район Марьина роща, Октябрьский пер., 5;7;45.0;110
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26484202/;Москва, район Мещанский, ул. Советской Армии, 6;7;45.9;57
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/33572380/;Москва, район Мещанский, ул. Советской Армии, 6;5;47.2;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/30231928/;Москва, район Мещанский, ул. Советской Армии, 6;10;48.9;77
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/45054713/;Москва, район Мещанский, ул. Советской Армии, 6;8;49.0;77
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/34470316/;Москва, район Мещанский, ул. Советской Армии, 6;8;49.0;67
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/21520538/;Москва, район Тверской, 2-й Щемиловский пер., 4;6;49.9;104
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26226376/;Москва, район Мещанский, ул. Советской Армии, 6;7;50.0;67
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/24783586/;Москва, район Марьина роща, Октябрьский пер., 5;7;52.0;107
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/30636766/;Москва, район Мещанский, ул. Советской Армии, 6;7;52.6;81
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26687314/;Москва, район Мещанский, ул. Советской Армии, 6;7;53.5;57
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/28204414/;Москва, район Мещанский, ул. Советской Армии, 6;7;53.5;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/42479382/;Москва, район Тверской, Никоновский пер., 3/1;5;16.8;53
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/38713841/;Москва, район Марьина роща, Октябрьский пер., 5;10;55.0;108
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26686702/;Москва, район Мещанский, ул. Советской Армии, 6;7;55.5;67
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26687044/;Москва, район Мещанский, ул. Советской Армии, 6;7;57.4;58
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26685418/;Москва, район Мещанский, ул. Советской Армии, 6;7;61.2;57
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26685076/;Москва, район Мещанский, ул. Советской Армии, 6;7;61.2;58
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/26685946/;Москва, район Мещанский, ул. Советской Армии, 6;7;63.9;67
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/29677090/;Москва, район Тверской, 2-й Щемиловский пер., 5а;6;65.7;137
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/21255161/;Москва, район Мещанский, ул. Советской Армии, 6;10;68.9;56
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/4562962/;Москва, район Мещанский, ул. Советской Армии, 6с2;6;68.9;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/26683708/;Москва, район Мещанский, ул. Советской Армии, 6;7;69.0;106
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/34043362/;Москва, район Мещанский, ул. Советской Армии, 6;10;75.7;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/25631248/;Москва, район Мещанский, ул. Советской Армии, 6;10;79.0;77
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/3582859/;Москва, район Мещанский, ул. Советской Армии, 6;6;80.3;57
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/2701630/;Москва, район Марьина роща, Октябрьский пер., 5;5;95.7;80
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/26674774/;Москва, район Мещанский, ул. Советской Армии, 6;7;101.0;106
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/26682994/;Москва, район Мещанский, ул. Советской Армии, 6;7;111.0;103
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/16354468/;Москва, район Мещанский, ул. Советской Армии, 6;10;122.5;95
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/2487018/;Москва, район Мещанский, ул. Советской Армии, 6с2;12;124.4;112
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/30231922/;Москва, район Мещанский, ул. Советской Армии, 6;10;126.7;92
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/4081379/;Москва, район Мещанский, ул. Советской Армии, 6;6;169.9;102
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/4080439/;Москва, район Мещанский, ул. Советской Армии, 6;6;169.9;104
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/26483062/;Москва, район Мещанский, ул. Советской Армии, 6;7;183.7;120
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/37795564/;Москва, район Мещанский, Олимпийский просп., 10;8;11.9;40
Достоевская;2-комнатная;http://www.cian.ru/sale/flat/46636084/;Москва, район Марьина роща, Октябрьская ул., 9/1;6;12.0;57
Достоевская;1-комнатная;http://www.cian.ru/sale/flat/37795576/;Москва, район Мещанский, Олимпийский просп., 10;8;13.0;42
