метро;комнат;ссылка;адрес;минут до метро;цена
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/35858220/;Москва, район Фили-Давыдково, Большая Филевская ул., 59К1;5;5.8
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/30495466/;Москва, район Фили-Давыдково, Большая Филевская ул., 47к1;8;9.1
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/36331085/;Москва, район Фили-Давыдково, Кастанаевская ул., 50к1;3;17.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/37658314/;Москва, район Фили-Давыдково, Пинский проезд, 3;6;6.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/40202981/;Москва, район Фили-Давыдково, Большая Филевская ул., 47к1;6;6.7
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/38265520/;Москва, район Фили-Давыдково, Кастанаевская ул., 46;5;7.0
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/46420772/;Москва, район Фили-Давыдково, Малая Филевская ул., 14К2;3;7.1
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/42244020/;Москва, район Фили-Давыдково, Пинский проезд, 4;5;7.3
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/34640584/;Москва, район Фили-Давыдково, Малая Филевская ул., 14К2;2;7.9
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/46440927/;Москва, район Фили-Давыдково, ул. Пивченкова, 7;10;8.5
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/45158749/;Москва, район Фили-Давыдково, ул. Пивченкова, 7;7;8.5
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/30321250/;Москва, район Фили-Давыдково, Кастанаевская ул., 60;7;9.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/45764689/;Москва, район Фили-Давыдково, Кастанаевская ул., 39;5;9.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/26004220/;Москва, район Фили-Давыдково, Кастанаевская ул., 39;4;10.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/36804466/;Москва, район Фили-Давыдково, Кастанаевская ул., 45К2;3;14.5
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/40337855/;Москва, район Фили-Давыдково, ул. Герасима Курина, 44К1;10;14.7
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/40482155/;Москва, район Фили-Давыдково, Кастанаевская ул., 51К1;7;15.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/42786048/;Москва, район Фили-Давыдково, Кастанаевская ул., 45К2;7;15.8
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/16351438/;Москва, район Фили-Давыдково, Кастанаевская ул., 43;5;16.0
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/36331847/;Москва, район Фили-Давыдково, Кастанаевская ул., 50к1;3;17.0
Пионерская;1-комнатная;http://www.cian.ru/sale/flat/39391103/;Москва, район Фили-Давыдково, Кастанаевская ул., 39;4;8.3
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/45970227/;Москва, район Фили-Давыдково, Кастанаевская ул., 45К2;5;13.0
Пионерская;2-комнатная;http://www.cian.ru/sale/flat/32748910/;Москва, район Фили-Давыдково, Большая Филевская ул., 53К1;5;8.7
