метро;комнат;ссылка;адрес;минут до метро;цена
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/39162575/;Москва, район Мещанский, Цветной бул., 28С3;3;24.9
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/34380370/;Москва, район Мещанский, Трубная ул., 17С1;0;28.0
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/40893629/;Москва, район Тверской, 1-й Самотечный пер., вл17б;10;51.3
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/37278598/;Москва, район Мещанский, Малый Сухаревский пер., 7;3;91.1
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/44812917/;Москва, район Мещанский, Мещанская ул., 2;8;6.9
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/40495091/;Москва, район Мещанский, Троицкая ул., 10С1;5;8.9
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/38017462/;Москва, район Мещанский, Троицкая ул., 10С1;10;9.0
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/41994156/;Москва, район Тверской, Делегатская ул., 14/2;7;11.9
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/37985038/;Москва, район Мещанский, Цветной бул., 20/1;3;12.0
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/35337256/;Москва, район Мещанский, пер. Выползов, 10;10;12.5
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/20663483/;Москва, район Мещанский, Садовая-Сухаревская ул., 13/15;5;14.0
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/31712584/;Москва, район Мещанский, Трубная ул., 25С1;5;18.9
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/8800959/;Москва, район Тверской, пер. Лихов, 5;6;19.9
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/24350946/;Москва, район Мещанский, Садовая-Сухаревская ул., 8/12;5;23.0
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/43465331/;Москва, район Тверской, ул. Каретный Ряд, 5/10С2;7;24.5
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/38648345/;Москва, район Мещанский, Цветной бул., 28С3;2;24.9
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/34179322/;Москва, район Мещанский, Малый Кисельный пер., 4к1;5;27.0
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/31431514/;Москва, район Мещанский, Троицкая ул., 9;5;28.0
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/14090998/;Москва, район Мещанский, Цветной бул., 28С3;5;29.1
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/29039476/;Москва, район Тверской, Петровский бул., 17/1;10;29.9
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/32591110/;Москва, район Тверской, Петровский бул., 17/1;5;31.0
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/36295463/;Москва, район Тверской, Петровский бул., 17/1;7;31.1
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/34380790/;Москва, район Мещанский, Трубная ул., 17С1;3;31.6
Цветной бульвар;2-комнатная;http://www.cian.ru/sale/flat/29039470/;Москва, район Тверской, Петровский бул., 17/1;10;34.0
Цветной бульвар;1-комнатная;http://www.cian.ru/sale/flat/41282285/;Москва, район Тверской, Петровский бул., 17/1;5;36.1
