метро;комнат;ссылка;адрес;минут до метро;цена
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/32316880/;Москва, район Замоскворечье, Мытная ул., 7с1;8;27.2
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/44019710/;Москва, район Якиманка, Мытная ул., 40;10;27.4
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/38630561/;Москва, район Якиманка, Мытная ул., 40;10;28.0
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/42966726/;Москва, район Замоскворечье, Мытная ул., 7с1;7;29.0
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/32317000/;Москва, район Замоскворечье, Мытная ул., 7с1;8;29.8
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/44019780/;Москва, район Якиманка, Мытная ул., 40;10;30.3
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/45913312/;Москва, район Якиманка, Мытная ул., 40;10;30.7
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/39654059/;Москва, район Замоскворечье, Мытная ул., 7с1;9;30.9
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/40578137/;Москва, район Замоскворечье, Мытная ул., 7с1;6;31.9
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/32317090/;Москва, район Замоскворечье, Мытная ул., 7с1;8;31.9
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/32317234/;Москва, район Замоскворечье, Мытная ул., 7с1;8;31.9
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/19786499/;Москва, район Замоскворечье, Мытная ул., 7с1;8;32.0
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/18750712/;Москва, район Якиманка, Мытная ул., 40;10;34.1
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/19250248/;Москва, район Замоскворечье, Мытная ул., 7с1;8;34.5
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/39654071/;Москва, район Замоскворечье, Мытная ул., 7с1;9;34.5
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/32317690/;Москва, район Замоскворечье, Мытная ул., 7с1;8;34.5
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/30601018/;Москва, район Замоскворечье, Мытная ул., 7с2;7;34.9
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/30600994/;Москва, район Замоскворечье, Мытная ул., 7с1;7;35.0
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/25120222/;Москва, район Замоскворечье, Мытная ул., 7с1;8;35.5
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/22781046/;Москва, район Замоскворечье, Мытная ул., 7с1;8;35.5
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/32770972/;Москва, район Замоскворечье, Мытная ул., 7с1;7;35.8
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/39653957/;Москва, район Замоскворечье, Мытная ул., 7с1;9;36.1
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/32318062/;Москва, район Замоскворечье, Мытная ул., 7с1;8;36.1
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/30600976/;Москва, район Замоскворечье, Мытная ул., 7с1;7;36.5
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/45042821/;Москва, район Якиманка, Мытная ул., 40;10;36.5
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/36529426/;Москва, район Замоскворечье, ул. Павла Андреева, 4;7;11.9
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/43646573/;Москва, район Замоскворечье, Большая Серпуховская ул., 31К3;5;12.3
Серпуховская;1-комнатная;http://www.cian.ru/sale/flat/39272117/;Москва, район Замоскворечье, Большая Серпуховская ул., 30С3;2;12.5
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/17456308/;Москва, район Замоскворечье, ул. Зацепа, 22;7;13.0
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/37105042/;Москва, район Замоскворечье, Большая Серпуховская ул., 34К4;3;13.0
Серпуховская;2-комнатная;http://www.cian.ru/sale/flat/46612012/;Москва, район Замоскворечье, Большая Серпуховская ул., 31К5;2;13.2
