метро;комнат;ссылка;адрес;минут до метро;цена
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/38015500/;Москва, район Пресненский, Большая Никитская ул., 31;10;41.6
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37361452/;Москва, район Арбат, ул. Новый Арбат, 32;10;42.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37360744/;Москва, район Пресненский, Большая Никитская ул., 31;10;42.7
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37360762/;Москва, район Пресненский, Большая Никитская ул., 31;10;42.7
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/16355890/;Москва, район Арбат, ул. Большая Молчановка, 21;10;43.9
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/23688150/;Москва, район Арбат, Крестовоздвиженский пер., 4;3;45.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/43472441/;Москва, район Арбат, Крестовоздвиженский пер., 4;5;45.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/2440976/;Москва, район Хамовники, Большой Власьевский пер., 9;10;47.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/2913139/;Москва, район Хамовники, Большой Власьевский пер., 9;10;47.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37273978/;Москва, район Пресненский, Никитский бул., 8;2;48.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/24750442/;Москва, район Арбат, Никитский бул., 5;2;48.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/19244926/;Москва, район Арбат, Никитский бул., 5;2;53.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/29099878/;Москва, район Арбат, Поварская ул., 8/1С1;3;58.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41591040/;Москва, район Арбат, Поварская ул., 8С4;10;58.6
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/2411452/;Москва, район Арбат, Композиторская ул., 17;10;59.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41591004/;Москва, район Арбат, Поварская ул., 8С4;10;59.8
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/38616473/;Москва, район Арбат, ул. Большая Молчановка, 21;5;61.9
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/42995574/;Москва, район Арбат, Староконюшенный пер., 37;5;64.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41591028/;Москва, район Арбат, Поварская ул., 8С4;10;69.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/2746453/;Москва, район Арбат, Гоголевский бул., 27;4;72.2
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/3457352/;Москва, район Арбат, пер. Романов, 3С3;10;72.8
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/36805072/;Москва, район Хамовники, Большой Власьевский пер., 14;10;76.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/31708678/;Москва, район Арбат, пер. Романов, 3С1;4;79.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41590980/;Москва, район Арбат, Поварская ул., 8С4;10;79.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/39622073/;Москва, район Арбат, Староконюшенный пер., 45;6;79.9
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41598672/;Москва, район Арбат, ул. Новый Арбат, 6;4;19.2
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/46489712/;Москва, район Арбат, Новинский бул., 15;10;19.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/39888731/;Москва, район Пресненский, Никитский бул., 8;5;20.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/40482191/;Москва, район Арбат, Большой Николопесковский пер., 3;7;20.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/44844203/;Москва, район Арбат, Большой Николопесковский пер., 3;10;20.7
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/44419332/;Москва, район Арбат, Малый Николопесковский пер., 11/2С1;5;20.9
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/20546993/;Москва, район Арбат, ул. Арбат, 20;6;21.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/36222383/;Москва, район Арбат, ул. Арбат, 20;7;21.5
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/41593884/;Москва, район Арбат, ул. Арбат, 20;7;22.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/21583395/;Москва, район Арбат, Троилинский пер., 4/7;10;22.9
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37075954/;Москва, район Арбат, Гоголевский бул., 25С1;5;23.0
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/41426465/;Москва, район Арбат, Нижний Кисловский пер., 3;2;23.8
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/37410382/;Москва, район Пресненский, Хлебный пер., 2/3С1;4;24.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/39860285/;Москва, район Пресненский, Леонтьевский пер., 6С2;8;24.2
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/46083987/;Москва, район Арбат, ул. Новый Арбат, 6;2;24.4
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/23705160/;Москва, район Хамовники, Гагаринский пер., 27;10;25.0
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/39411233/;Москва, район Арбат, Поварская ул., 31/29;10;30.6
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/2387917/;Москва, район Арбат, Поварская ул., 31/29;10;30.6
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/31519300/;Москва, район Пресненский, Скатертный пер., 17;7;34.0
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/28436194/;Москва, район Пресненский, Скатертный пер., 17;7;34.0
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/21308639/;Москва, район Арбат, Поварская ул., 31/29;10;34.2
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/28402624/;Москва, район Пресненский, Никитский бул., 12;4;37.1
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/12195235/;Москва, район Пресненский, Никитский бул., 12;4;37.1
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/38015488/;Москва, район Пресненский, Большая Никитская ул., 31;10;38.2
Арбатская;2-комнатная;http://www.cian.ru/sale/flat/40850573/;Москва, район Пресненский, пер. Брюсов, 2/14С1;5;39.0
Арбатская;1-комнатная;http://www.cian.ru/sale/flat/38015500/;Москва, район Пресненский, Большая Никитская ул., 31;10;41.6
