метро;комнат;ссылка;адрес;минут до метро;цена
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/46625049/;Москва, район Фили-Давыдково, Большая Филевская ул., 41К4;5;6.9
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/46625184/;Москва, район Фили-Давыдково, Большая Филевская ул., 41К4;5;6.9
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/46476312/;Москва, район Филевский парк, Минская ул., 6К2;3;7.0
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/22407612/;Москва, район Филевский парк, 2-я Филевская ул., 5К2;8;8.4
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/39370661/;Москва, район Филевский парк, 2-я Филевская ул., 4С2;7;9.2
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/45151693/;Москва, район Фили-Давыдково, ул. Олеко Дундича, 32;5;9.5
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/28176466/;Москва, район Филевский парк, 2-я Филевская ул., 4С2;10;10.3
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/15739174/;Москва, район Филевский парк, 2-я Филевская ул., 4С2;5;10.9
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/38168776/;Москва, район Филевский парк, 2-я Филевская ул., 4С2;7;12.7
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/28177090/;Москва, район Фили-Давыдково, Малая Филевская ул., 4К1;10;13.1
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/44711286/;Москва, район Филевский парк, 2-я Филевская ул., 8;15;18.4
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/26768530/;Москва, район Филевский парк, 2-я Филевская ул., 8к1;8;19.0
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/40975661/;Москва, район Фили-Давыдково, ул. Герасима Курина, 2;8;5.4
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/30882136/;Москва, район Фили-Давыдково, Минская ул., 17;4;5.8
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/46066132/;Москва, район Фили-Давыдково, Кастанаевская ул., 32К1;5;5.9
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/44934511/;Москва, район Фили-Давыдково, Кастанаевская ул., 32К1;5;6.0
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/42954270/;Москва, район Фили-Давыдково, Минская ул., 17;5;6.0
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/34545466/;Москва, район Фили-Давыдково, ул. Олеко Дундича, 35К1;5;6.1
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/19333036/;Москва, район Филевский парк, Кастанаевская ул., 30К1;5;6.5
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/21437477/;Москва, район Фили-Давыдково, Малая Филевская ул., 6К2;5;6.7
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/46439592/;Москва, район Филевский парк, ул. Василисы Кожиной, 26;20;6.9
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/34892500/;Москва, район Фили-Давыдково, Минская ул., 17;5;7.2
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/34892584/;Москва, район Фили-Давыдково, Минская ул., 17;5;7.2
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/35565630/;Москва, район Филевский парк, 2-я Филевская ул., 5К2;0;7.3
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/6832976/;Москва, район Фили-Давыдково, ул. Пивченкова, 14;5;7.8
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/44773041/;Москва, район Фили-Давыдково, Большая Филевская ул., 45К2;5;7.9
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/28688392/;Москва, район Филевский парк, 2-я Филевская ул., 4С2;5;7.9
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/37890994/;Москва, район Фили-Давыдково, ул. Пивченкова, 12;10;8.0
Филевский парк;1-комнатная;http://www.cian.ru/sale/flat/25665808/;Москва, район Филевский парк, Кастанаевская ул., 26;3;8.2
Филевский парк;2-комнатная;http://www.cian.ru/sale/flat/32915506/;Москва, район Филевский парк, Минская ул., 10к1;5;8.3
