метро;комнат;ссылка;адрес;минут до метро;цена
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/16270366/;Москва, район Алексеевский, ул. Космонавтов, 7;7;13.9
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/30909358/;Москва, район Останкинский, 2-я Новоостанкинская ул., 21;10;14.0
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/8947252/;Москва, район Ростокино, просп. Мира, 129;10;14.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/42658170/;Москва, район Останкинский, Звездный бул., 1;5;14.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/34457002/;Москва, район Останкинский, ул. Академика Королева, 8К1;10;14.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/46040059/;Москва, район Алексеевский, просп. Мира, 184К1;4;14.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/3724621/;Москва, район Останкинский, ул. Академика Королева, 5;8;14.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/28586560/;Москва, район Останкинский, ул. Академика Королева, 9К5;10;14.8
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/31249540/;Москва, район Алексеевский, Ярославская ул., 14К1;9;15.0
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/12251038/;Москва, район Алексеевский, Ракетный бул., 11К2;7;15.0
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/40042979/;Москва, район Алексеевский, Рижский проезд, 13;15;15.3
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/43628795/;Москва, район Алексеевский, Рижский проезд, 13;10;15.3
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/37299754/;Москва, район Алексеевский, Рижский проезд, 13;15;15.3
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/39683375/;Москва, район Алексеевский, ул. Бориса Галушкина, 17;15;15.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/21947462/;Москва, район Алексеевский, ул. Бориса Галушкина, 17;15;15.8
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/39380435/;Москва, район Алексеевский, Рижский проезд, 11;17;15.8
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/34675978/;Москва, район Алексеевский, просп. Мира, 184К1;4;15.9
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/34041238/;Москва, район Алексеевский, ул. Космонавтов, 10К2;10;7.0
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/43638875/;Москва, район Алексеевский, ул. Бориса Галушкина, 20;10;10.5
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/38916359/;Москва, район Останкинский, Аргуновская ул., 6К2;10;12.8
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/38828693/;Москва, район Алексеевский, Рижский проезд, 9;17;13.9
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/27863734/;Москва, район Алексеевский, ул. Космонавтов, 6;6;15.7
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/37778248/;Москва, район Останкинский, ул. Академика Королева, 4К1;10;16.5
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/45418369/;Москва, район Останкинский, Звездный бул., 20;8;6.5
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/33518092/;Москва, район Алексеевский, Ярославская ул., 17;5;7.4
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/21111863/;Москва, район Алексеевский, ул. Кибальчича, 12К1;11;6.7
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/35369326/;Москва, район Алексеевский, ул. Кибальчича, 10;8;6.8
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/39443159/;Москва, район Алексеевский, ул. Константинова, 5;12;6.9
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/36452657/;Москва, район Останкинский, 2-я Останкинская ул., 2;10;6.9
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/38913869/;Москва, район Останкинский, Звездный бул., 42К1;12;6.9
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/35265646/;Москва, район Алексеевский, ул. Космонавтов, 28;16;6.9
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/34621570/;Москва, район Останкинский, 3-я Новоостанкинская ул., 15;8;6.9
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/44792437/;Москва, район Останкинский, 1-я Останкинская ул., 25;12;6.9
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/46522082/;Москва, район Алексеевский, Ракетный бул., 9К2;7;7.0
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/24935656/;Москва, район Алексеевский, ул. Космонавтов, 20;10;7.4
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/44940157/;Москва, район Алексеевский, ул. Константинова, 32К2;15;7.4
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/12854119/;Москва, район Алексеевский, Ракетный бул., 15;8;7.5
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/38384704/;Москва, район Алексеевский, Ракетный бул., 9К1;8;7.5
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/42621372/;Москва, район Останкинский, ул. Кондратюка, 9К2;6;7.6
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/22474536/;Москва, район Останкинский, ул. Кондратюка, 14;5;7.6
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/45935827/;Москва, район Останкинский, ул. Кондратюка, 10;5;7.6
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/36720604/;Москва, район Алексеевский, ул. Павла Корчагина, 15;17;7.6
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/24219546/;Москва, район Ростокино, просп. Мира, 131К2;5;7.7
ВДНХ;1-комнатная;http://www.cian.ru/sale/flat/46498867/;Москва, район Алексеевский, ул. Бориса Галушкина, 12;14;7.7
ВДНХ;2-комнатная;http://www.cian.ru/sale/flat/37849666/;Москва, район Останкинский, Звездный бул., 10;5;7.7
