метро;комнат;ссылка;адрес;минут до метро;цена
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/39044351/;Москва, район Текстильщики, 2-й Саратовский проезд, 6К1;7;6.4
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/34642402/;Москва, район Текстильщики, ул. Юных Ленинцев, 10/15К2;10;6.4
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/24219426/;Москва, район Текстильщики, ул. 8-яТекстильщиков, 5А;9;6.5
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/41743716/;Москва, район Текстильщики, ул. Артюхиной, 8/10;11;6.5
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/15444790/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 1;7;6.5
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/42883506/;Москва, район Текстильщики, ул. Чистова, 4;7;6.5
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45029421/;Москва, Грайвороново 90а кв-л, к6;20;6.6
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/32309122/;Москва, район Текстильщики, Люблинская ул., 21А;9;6.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/37279102/;Москва, Грайвороново 90а кв-л, к6А;18;6.6
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/33387652/;Москва, район Текстильщики, Люблинская ул., 5К2;7;6.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/31170736/;Москва, район Текстильщики, Грайвороновская ул., 10К1;10;6.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/36765538/;Москва, район Текстильщики, ул. Малышева, 4;10;6.7
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/41947824/;Москва, район Текстильщики, Грайвороновская ул., 17;10;6.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/31131580/;Москва, район Текстильщики, Грайвороновская ул., 16К3;14;6.8
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45814992/;Москва, район Рязанский, Волжский бул., 11;10;6.8
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/32523472/;Москва, район Текстильщики, Люблинская ул., 35К1;15;6.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/11861734/;Москва, район Текстильщики, Грайвороновская ул., 10К1;11;6.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/30461722/;Москва, район Текстильщики, ул. 1-я Текстильщиков, 8;10;7.0
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45254619/;Москва, район Текстильщики, ул. Юных Ленинцев, 8;10;7.0
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/43631687/;Москва, район Текстильщики, Волжский бул., 18К2;7;7.0
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/40209833/;Москва, Волжский Бульвар 114А кв-л, к2;12;7.0
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/42107736/;Москва, район Текстильщики, ул. Артюхиной, 8/10;11;7.1
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/16868818/;Москва, район Текстильщики, Волжский бул., 38;10;7.1
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/4058107/;Москва, район Текстильщики, ул. 1-яТекстильщиков, 8;10;7.1
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/37795870/;Москва, район Текстильщики, Грайвороновская ул., 6С1;13;7.2
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/39877991/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 12К2;10;5.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/22465614/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 1;10;5.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/16602616/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 1;10;5.6
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/46418087/;Москва, район Текстильщики, ул. 1-я Текстильщиков, 9;10;5.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/45954392/;Москва, район Текстильщики, ул. Юных Ленинцев, 16;10;5.7
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/36514642/;Москва, район Текстильщики, Люблинская ул., 5К1;7;5.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/38657159/;Москва, район Текстильщики, 2-й Саратовский проезд, 5;7;5.8
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/24794386/;Москва, район Текстильщики, 2-й Грайвороновский проезд, 8С1;17;5.8
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/23754006/;Москва, Волжский Бульвар 95 кв-л, к3;11;5.8
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/45904667/;Москва, Грайвороново 90а кв-л;10;5.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/30672238/;Москва, район Текстильщики, ул. Юных Ленинцев, 18К2;15;5.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/40354103/;Москва, район Текстильщики, Люблинская ул., 7/2К1;5;5.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/37981594/;Москва, район Текстильщики, Волгоградский просп., 71К1;7;6.0
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/34012942/;Москва, район Текстильщики, ул. Артюхиной, 24;10;6.0
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/43137072/;Москва, район Текстильщики, Волжский бул., 14;8;6.0
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/3981843/;Москва, район Текстильщики, ул. 1-яТекстильщиков, 9;10;6.0
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/31556464/;Москва, Грайвороново 90а кв-л;10;6.1
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/23771670/;Москва, район Текстильщики, ул. 11-я Текстильщиков, 4;10;6.1
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/43533473/;Москва, район Текстильщики, ул. Чистова, 4А;10;6.1
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/39234083/;Москва, район Текстильщики, 2-й Саратовский проезд, 3;8;6.2
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/20750285/;Москва, Грайвороново 90а кв-л;10;6.2
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45700265/;Москва, Волжский Бульвар 114А кв-л, к3;14;6.3
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/39043745/;Москва, район Текстильщики, ул. Малышева, 13К2;15;6.3
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/46613889/;Москва, район Текстильщики, ул. Юных Ленинцев, 10/15К1;10;6.3
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/21341453/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 12К2;13;6.3
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/39044351/;Москва, район Текстильщики, 2-й Саратовский проезд, 6К1;7;6.4
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/34642402/;Москва, район Текстильщики, ул. Юных Ленинцев, 10/15К2;10;6.4
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/24219426/;Москва, район Текстильщики, ул. 8-яТекстильщиков, 5А;9;6.5
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/41743716/;Москва, район Текстильщики, ул. Артюхиной, 8/10;11;6.5
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/15444790/;Москва, район Текстильщики, ул. 8-я Текстильщиков, 1;7;6.5
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/42883506/;Москва, район Текстильщики, ул. Чистова, 4;7;6.5
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45029421/;Москва, Грайвороново 90а кв-л, к6;20;6.6
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/32309122/;Москва, район Текстильщики, Люблинская ул., 21А;9;6.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/37279102/;Москва, Грайвороново 90а кв-л, к6А;18;6.6
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/33387652/;Москва, район Текстильщики, Люблинская ул., 5К2;7;6.6
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/31170736/;Москва, район Текстильщики, Грайвороновская ул., 10К1;10;6.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/36765538/;Москва, район Текстильщики, ул. Малышева, 4;10;6.7
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/41947824/;Москва, район Текстильщики, Грайвороновская ул., 17;10;6.7
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/31131580/;Москва, район Текстильщики, Грайвороновская ул., 16К3;14;6.8
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/45814992/;Москва, район Рязанский, Волжский бул., 11;10;6.8
Текстильщики;2-комнатная;http://www.cian.ru/sale/flat/32523472/;Москва, район Текстильщики, Люблинская ул., 35К1;15;6.9
Текстильщики;1-комнатная;http://www.cian.ru/sale/flat/11861734/;Москва, район Текстильщики, Грайвороновская ул., 10К1;11;6.9
