метро;комнат;ссылка;адрес;минут до метро;цена
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/34257640/;Москва, район Южное Бутово, Изюмская ул., 50;7;12.4
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/46492867/;Москва, район Южное Бутово, Изюмская ул., 47;9;8.5
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/39031823/;Москва, район Южное Бутово, Скобелевская ул., 5К1;2;9.6
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/46598357/;Москва, район Южное Бутово, Изюмская ул., 34К2;8;5.0
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/44012560/;Москва, район Южное Бутово, Изюмская ул., 45К1;5;5.5
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/15329128/;Москва, район Южное Бутово, Старокрымская ул., 13С1;12;5.5
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/34634320/;Москва, район Южное Бутово, Ливенская ул., 6;6;7.2
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/41891718/;Москва, район Южное Бутово, Изюмская ул., 39к1;9;8.0
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/39869093/;Москва, район Южное Бутово, Изюмская ул., 34;9;9.2
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/44774121/;Москва, район Южное Бутово, Скобелевская ул., 21;3;9.6
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/36891652/;Москва, район Южное Бутово, бул. Адмирала Ушакова, 8;2;6.3
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/39034577/;Москва, район Южное Бутово, Изюмская ул., 43к1;10;5.7
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/38264416/;Москва, район Южное Бутово, бул. Адмирала Ушакова, 18;2;5.8
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/36405191/;Москва, район Южное Бутово, Скобелевская ул., 26;4;5.8
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/46623352/;Москва, район Южное Бутово, Изюмская ул., 43;11;5.9
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/40492511/;Москва, район Южное Бутово, бул. Адмирала Ушакова, 5;2;5.9
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/40846847/;Москва, район Южное Бутово, ул. Поляны, 7;4;5.9
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/42567000/;Москва, район Южное Бутово, Изюмская ул., 53к2;10;6.0
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/32334484/;Москва, район Южное Бутово, Изюмская ул., 45К1;10;6.0
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/26060866/;Москва, район Южное Бутово, Изюмская ул., 47;9;6.0
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/32274394/;Москва, район Южное Бутово, Изюмская ул., 22;7;6.1
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/30564190/;Москва, район Южное Бутово, Старокрымская ул., 13С1;14;6.1
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/34685998/;Москва, район Южное Бутово, Изюмская ул., 61к1;7;6.2
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/37786432/;Москва, район Южное Бутово, Скобелевская ул., 23К4;2;6.3
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/31118224/;Москва, район Южное Бутово, Изюмская ул., 50К1;5;6.4
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/42971538/;Москва, район Южное Бутово, Скобелевская ул., 23К5;5;6.4
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/12744043/;Москва, район Южное Бутово, Старокрымская ул., 13С1;10;6.4
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/37270642/;Москва, район Южное Бутово, ул. Поляны, 7;6;6.5
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/25654570/;Москва, район Южное Бутово, бул. Адмирала Ушакова, 8;2;6.5
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/40989221/;Москва, район Южное Бутово, ул. Поляны, 7;8;6.6
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/23231388/;Москва, район Южное Бутово, ул. Поляны, 9;4;6.6
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/36803218/;Москва, район Южное Бутово, Изюмская ул., 46;5;6.8
Улица Скобелевская;1-комнатная;http://www.cian.ru/sale/flat/34153474/;Москва, район Южное Бутово, Изюмская ул., 50;7;7.0
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/39447299/;Москва, район Южное Бутово, Изюмская ул., 26К2;5;7.1
Улица Скобелевская;2-комнатная;http://www.cian.ru/sale/flat/36808576/;Москва, район Южное Бутово, Изюмская ул., 28К1;5;7.3
