метро;комнат;ссылка;адрес;минут до метро;цена
Марьино;1-комнатная;http://www.cian.ru/sale/flat/39909023/;Москва, район Марьино, ул. Перерва, 26К2;8;5.8
Марьино;1-комнатная;http://www.cian.ru/sale/flat/44249292/;Москва, район Марьино, Луговой проезд, 1/8;6;5.9
Марьино;1-комнатная;http://www.cian.ru/sale/flat/46593717/;Москва, район Марьино, ул. Перерва, 26К1;7;5.9
Марьино;1-комнатная;http://www.cian.ru/sale/flat/40614557/;Москва, район Марьино, ул. Перерва, 34;6;6.0
Марьино;1-комнатная;http://www.cian.ru/sale/flat/46533092/;Москва, район Марьино, ул. Перерва, 26К1;7;6.0
Марьино;1-комнатная;http://www.cian.ru/sale/flat/41148809/;Москва, район Марьино, Новочеркасский бул., 36;10;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/41378411/;Москва, район Марьино, Поречная ул., 23;20;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/42791088/;Москва, район Марьино, Поречная ул., 23;15;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/46170202/;Москва, район Марьино, ул. Маршала Голованова, 17;11;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/42421374/;Москва, район Марьино, Мячковский бул., 27;15;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/45449869/;Москва, район Марьино, Люблинская ул., 126;3;6.1
Марьино;1-комнатная;http://www.cian.ru/sale/flat/40253783/;Москва, район Марьино, ул. Маршала Голованова, 17;9;6.2
Марьино;1-комнатная;http://www.cian.ru/sale/flat/46625159/;Москва, район Марьино, ул. Маршала Голованова, 1;11;6.3
Марьино;1-комнатная;http://www.cian.ru/sale/flat/38932721/;Москва, район Марьино, Новомарьинская ул., 4;4;6.3
Марьино;1-комнатная;http://www.cian.ru/sale/flat/34021018/;Москва, район Марьино, ул. Перерва, 26К1;5;6.3
Марьино;2-комнатная;http://www.cian.ru/sale/flat/41266139/;Москва, район Марьино, Донецкая ул., 13;14;6.3
Марьино;1-комнатная;http://www.cian.ru/sale/flat/46595837/;Москва, район Марьино, ул. Маршала Голованова, 16;10;6.3
Марьино;1-комнатная;http://www.cian.ru/sale/flat/43522115/;Москва, район Марьино, Луговой проезд, 12К1;8;6.3
Марьино;1-комнатная;http://www.cian.ru/sale/flat/41890578/;Москва, район Марьино, Люблинская ул., 124;5;6.3
