метро;комнат;ссылка;адрес;минут до метро;цена
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40633331/;Москва, район Филевский парк, ул. Василисы Кожиной, 14К2;8;12.3
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40353065/;Москва, район Филевский парк, ул. Василисы Кожиной, 8К1;7;6.9
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/28453306/;Москва, район Филевский парк, ул. Василисы Кожиной, 14К7;10;8.9
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/32120938/;Москва, район Филевский парк, 3-я Филевская ул., 6К2;8;9.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/43876967/;Москва, район Филевский парк, Барклая ул., 16К2;3;10.5
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/40913657/;Москва, район Филевский парк, Барклая ул., 7к1;5;15.0
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/3511129/;Москва, район Филевский парк, Барклая ул., 7к1;4;16.5
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/34782886/;Москва, район Филевский парк, Большая Филевская ул., 16;10;16.7
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/28174168/;Москва, район Филевский парк, Барклая ул., 7к1;5;17.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/39225071/;Москва, район Филевский парк, Кастанаевская ул., 5;6;17.5
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/43386803/;Москва, район Филевский парк, 3-я Филевская ул., 7к2;7;6.6
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/42668418/;Москва, район Филевский парк, Сеславинская ул., 24;2;6.9
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/11800360/;Москва, район Филевский парк, ул. Василисы Кожиной, 8К3;8;7.2
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/35848566/;Москва, район Филевский парк, Кастанаевская ул., 5;5;7.2
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/45067913/;Москва, район Филевский парк, Барклая ул., 7/1К2;7;7.3
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/35445700/;Москва, район Филевский парк, Барклая ул., 3;7;7.6
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/3280714/;Москва, район Филевский парк, 2-я Филевская ул., 5К2;9;8.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/11897068/;Москва, район Филевский парк, Барклая ул., 11;1;8.1
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/46491807/;Москва, район Филевский парк, Сеславинская ул., 6;3;8.1
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/39642143/;Москва, район Филевский парк, Барклая ул., 11;2;8.2
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/45338043/;Москва, район Филевский парк, ул. Олеко Дундича, 13К2;6;8.4
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/39787751/;Москва, район Филевский парк, 3-я Филевская ул., 5;8;8.7
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/46533159/;Москва, район Филевский парк, ул. Олеко Дундича, 7;4;8.7
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/39104309/;Москва, район Филевский парк, Кастанаевская ул., 5;6;8.8
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/42421518/;Москва, район Филевский парк, ул. Василисы Кожиной, 14К7;10;8.9
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/29029132/;Москва, район Филевский парк, Кастанаевская ул., 8;4;9.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40633331/;Москва, район Филевский парк, ул. Василисы Кожиной, 14К2;8;12.3
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/42077790/;Москва, район Филевский парк, ул. Василисы Кожиной, 14К7;7;9.1
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/38307136/;Москва, район Филевский парк, Береговой проезд, 5к1;10;9.3
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/24998206/;Москва, район Филевский парк, 3-я Филевская ул., 8к4;6;9.3
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40399505/;Москва, район Филевский парк, Кастанаевская ул., 5;6;9.5
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/39615761/;Москва, район Филевский парк, ул. Василисы Кожиной, 8К2;7;9.9
Багратионовская;1-комнатная;http://www.cian.ru/sale/flat/33621868/;Москва, район Филевский парк, 3-я Филевская ул., 6К2;8;10.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/33271942/;Москва, район Филевский парк, Новозаводская ул., 23/8К2;10;10.2
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40334675/;Москва, район Филевский парк, Кастанаевская ул., 16К1;5;11.2
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/39864755/;Москва, район Филевский парк, Барклая ул., 16К1;2;11.5
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/41220371/;Москва, район Филевский парк, Кастанаевская ул., 5;6;11.9
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/40493273/;Москва, район Филевский парк, Кастанаевская ул., 9К2;5;12.0
Багратионовская;2-комнатная;http://www.cian.ru/sale/flat/42391974/;Москва, район Филевский парк, Кастанаевская ул., 9К1;7;12.0
