метро;комнат;ссылка;адрес;минут до метро;цена
Университет;2-комнатная;http://www.cian.ru/sale/flat/46105609/;Москва, район Гагаринский, Ломоносовский просп., 15;7;15.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/44404206/;Москва, район Гагаринский, Ленинский просп., 67АС1;14;19.9
Университет;1-комнатная;http://www.cian.ru/sale/flat/40611917/;Москва, район Раменки, Ломоносовский просп., 25к5;4;41.7
Университет;2-комнатная;http://www.cian.ru/sale/flat/28962838/;Москва, район Раменки, Ломоносовский просп., 25к1;2;41.7
Университет;2-комнатная;http://www.cian.ru/sale/flat/40893611/;Москва, район Раменки, Ломоносовский просп., 25к5;3;46.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/38689529/;Москва, район Раменки, Ломоносовский просп., 25к5;2;49.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/37391224/;Москва, район Раменки, Ломоносовский просп., 25к5;4;51.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/40477853/;Москва, район Раменки, Ломоносовский просп., 25к5;4;52.5
Университет;2-комнатная;http://www.cian.ru/sale/flat/26552530/;Москва, район Раменки, Ломоносовский просп., 25к2;2;56.3
Университет;2-комнатная;http://www.cian.ru/sale/flat/40893653/;Москва, район Раменки, Ломоносовский просп., 25к5;3;57.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/40893665/;Москва, район Раменки, Ломоносовский просп., 25к5;3;59.6
Университет;2-комнатная;http://www.cian.ru/sale/flat/43828583/;Москва, район Раменки, Ломоносовский просп., 25к5;3;60.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/40893671/;Москва, район Раменки, Ломоносовский просп., 25к5;3;60.0
Университет;2-комнатная;http://www.cian.ru/sale/flat/40893353/;Москва, район Раменки, Ломоносовский просп., 25к5;3;60.8
Университет;2-комнатная;http://www.cian.ru/sale/flat/36340289/;Москва, район Раменки, Ломоносовский просп., 25к1;2;87.1
Университет;1-комнатная;http://www.cian.ru/sale/flat/37633306/;Москва, район Ломоносовский, ул. Марии Ульяновой, 33/23;7;6.4
Университет;1-комнатная;http://www.cian.ru/sale/flat/45408479/;Москва, район Ломоносовский, ул. Марии Ульяновой, 33/23;10;6.4
Университет;1-комнатная;http://www.cian.ru/sale/flat/17869888/;Москва, район Ломоносовский, ул. Панферова, 16К1;15;7.3
Университет;1-комнатная;http://www.cian.ru/sale/flat/40007945/;Москва, район Гагаринский, ул. Панферова, 9;15;7.3
Университет;1-комнатная;http://www.cian.ru/sale/flat/17614432/;Москва, район Ломоносовский, Ленинский просп., 83К4;15;7.8
