метро;комнат;ссылка;адрес;минут до метро;цена
Театральная;2-комнатная;http://www.cian.ru/sale/flat/35453602/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С3;4;70.0
Театральная;1-комнатная;http://www.cian.ru/sale/flat/16509340/;Москва, район Тверской, Тверская ул., 6С1;5;22.5
Театральная;2-комнатная;http://www.cian.ru/sale/flat/43524497/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;5;25.9
Театральная;2-комнатная;http://www.cian.ru/sale/flat/17931172/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;10;28.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/24016392/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;4;28.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512357/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;2;28.8
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512347/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;2;29.8
Театральная;2-комнатная;http://www.cian.ru/sale/flat/44268876/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;2;32.4
Театральная;2-комнатная;http://www.cian.ru/sale/flat/17931166/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;10;36.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/45944187/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;5;38.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/45944172/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;5;39.5
Театральная;2-комнатная;http://www.cian.ru/sale/flat/44268888/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;2;42.3
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512302/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;2;46.9
Театральная;2-комнатная;http://www.cian.ru/sale/flat/20546975/;Москва, район Тверской, Тверская ул., 6С1;5;47.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/17931178/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;10;50.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/44268882/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;2;50.6
Театральная;2-комнатная;http://www.cian.ru/sale/flat/17931190/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С2;10;51.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512342/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;2;51.9
Театральная;2-комнатная;http://www.cian.ru/sale/flat/40338209/;Москва, район Тверской, Тверская ул., 6С3;4;54.0
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512292/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;3;56.5
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512312/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;2;57.9
Театральная;2-комнатная;http://www.cian.ru/sale/flat/46512282/;Москва, район Тверской, ул. Большая Дмитровка, 7/5С1;3;58.6
Театральная;2-комнатная;http://www.cian.ru/sale/flat/44898377/;Москва, район Тверской, Тверская ул., 6С1;5;61.2
