метро;комнат;ссылка;адрес;минут до метро;цена
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/18628246/;Москва, район Соколиная гора, Вольный пер., 6;8;5.9
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/34889386/;Москва, район Соколиная гора, Вольная ул., 4;10;6.1
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/38935175/;Москва, район Соколиная гора, Ткацкая ул., 45;7;6.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/46236017/;Москва, район Соколиная гора, Измайловское ш., 17;8;6.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/25717048/;Москва, район Соколиная гора, ул. Семеновский Вал, 10К2;10;7.2
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/25499662/;Москва, район Соколиная гора, Вольная ул., 3;9;7.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/46455269/;Москва, район Соколиная гора, Измайловское ш., 22;7;7.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/40860983/;Москва, район Лефортово, Ухтомская ул., 9;15;7.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/45343745/;Москва, район Соколиная гора, просп. Буденного, 1/1К2;7;7.6
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/38124268/;Москва, район Соколиная гора, Фортунатовская ул., 10;15;11.4
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/34797268/;Москва, район Соколиная гора, Кирпичная ул., 51;13;5.0
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/43623941/;Москва, район Соколиная гора, Вольная ул., 4;10;5.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/42400206/;Москва, район Соколиная гора, Вольная ул., 4;11;5.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/23232288/;Москва, район Соколиная гора, Кирпичная ул., 12;8;5.6
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/37641106/;Москва, район Соколиная гора, Кирпичная ул., 12;7;5.6
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/36720460/;Москва, район Соколиная гора, Измайловское ш., 15;10;5.8
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/46616759/;Москва, район Соколиная гора, ул. 10-я Соколиной Горы, 20;17;5.9
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/40342541/;Москва, район Соколиная гора, Измайловское ш., 15;5;6.1
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/23155464/;Москва, район Соколиная гора, Щербаковская ул., 9;3;6.2
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/36594928/;Москва, район Соколиная гора, Вольная ул., 4;7;6.2
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/35545146/;Москва, район Соколиная гора, Вольная ул., 4;12;6.3
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/43661849/;Москва, район Соколиная гора, Вольная ул., 4;11;6.3
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/41902620/;Москва, район Соколиная гора, Измайловское ш., 13;6;6.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/38747783/;Москва, район Соколиная гора, Вольная ул., 4;10;6.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/19392760/;Москва, район Соколиная гора, просп. Буденного, 1/1К2;7;6.5
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/46439734/;Москва, район Соколиная гора, Зверинецкая ул., 12;6;6.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/39184631/;Москва, район Соколиная гора, Измайловское ш., 15;15;6.5
Семеновская;1-комнатная;http://www.cian.ru/sale/flat/32417272/;Москва, район Соколиная гора, Семеновский пер., 18А;5;6.7
Семеновская;2-комнатная;http://www.cian.ru/sale/flat/42588294/;Москва, район Соколиная гора, ул. Семеновский Вал, 12;10;6.9
